a1    | ayb   | b21t  | b22t  | b23t  | b3    | c1
0     | 25    | 38    | 65    | 90    | 120   | 168
25    | 38    | 65    | 90    | 120   | 168   | 230
2.60  | 1.17  | 0.98  | 0.66  | 0.33  | 0.33  | 0.33
1.51  | 0.68  | 0.57  | 0.38  | 0.19  | 0.19  | 0.19
0.117 | 0.063 | 0.068 | 0.048 | 0.03  | 0.03  | 0.02
13    | 11    | 8     | 8     | 6     | 7     | 10
26.7  | 27.6  | 58.6  | 45.8  | 33.7  | 20.3  | 20.5
67.4  | 66.0  | 37.8  | 49.4  | 69.9  | 70.6  | 66.7
100.0 | 100.0 | 100.0 | 100.0 | 110.0 | 100.0 | 100.0
36.9  | 34.1  | 20.8  | 28.3  | 32.3  | 41.5  | 37.1
4.0   | 4.5   | 2.5   | 3.5   | 4.5   | 6.5   | 9.4
1.6   | 1.6   | 0.9   | 1.1   | 1.7   | 2.3   | 3.2
0.3   | 0.3   | 0.2   | 0.2   | 0.2   | 0.3   | 0.2
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
---   | ---   | ---   | ---   | ---   | ---   | ---
5627  | 4739  | 1481  | 1530  | 1727  | 2369  | 2270
6.6   | 6.6   | 6.4   | 6.5   | 6.9   | 7.1   | 7.2
6.7   | 6.6   | 6.8   | 6.9   | 7.1   | 7.1   | 7.2
5.3   | 5.2   | 5.1   | 5.3   | 5.4   | 5.4   | 5.4
9.8   | 8.3   | 21.5  | 18.4  | 15.3  | 14.1  | 12.4
0.4   | 1.2   | 3.0   | 3.1   | 2.7   | 2.9   | 3.3
0.2   | 0.2   | 0.7   | 0.5   | 0.5   | 0.4   | 0.4
1.1   | 1.0   | 2.2   | 1.9   | 1.6   | 1.7   | 1.5
2.1   | 1.1   | 1.1   | 1.1   | 1.1   | 1.1   | 1.1
1.4   | 1.6   | 2.5   | 1.9   | 2.3   | 1.9   | 2.2
14.7  | 12.2  | 28.5  | 25.7  | 21.7  | 21.1  | 18.6
11.5  | 10.7  | 27.4  | 23.9  | 20.1  | 19.1  | 17.6
78    | 88    | 96    | 93    | 93    | 91    | 95
