ap    | ba    | bt1   | bt2   | bc    | c
0     | 10    | 23    | 40    | 57    | 96
10    | 23    | 40    | 57    | 96    | 130
2.45  | 2.34  | 1.29  | 0.81  | 0.55  | 0.34
1.42  | 1.36  | 0.75  | 0.47  | 0.32  | 0.20
0.136 | 0.130 | 0.048 | 0.059 | 0.04  | 0.03
10    | 10    | 16    | 8     | 8     | 6
19.3  | 22.7  | 31.4  | 27.2  | 21.1  | 13.0
73.1  | 68.1  | 61.3  | 65.1  | 70.9  | 76.6
100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
---   | ---   | ---   | ---   | ---   | ---
6.1   | 7.9   | 6.6   | 7.1   | 7.4   | 9.4
1.2   | 1.3   | 0.7   | 0.6   | 0.6   | 0.8
0.3   | 0.0   | 0.0   | 0.0   | 0.0   | 0.2
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 3.3
24.7  | 24.8  | 28.6  | 27.4  | 24.9  | 22.6
---   | ---   | ---   | ---   | ---   | ---
6.3   | 6.3   | 6.5   | 6.7   | 7.0   | 8.0
6.4   | 6.5   | 6.8   | 6.9   | 7.0   | 8.3
---   | ---   | ---   | ---   | ---   | ---
11.5  | 12.1  | 15.2  | 15.0  | 15.2  | ---
3.1   | 3.1   | 4.2   | 4.3   | 3.8   | ---
0.3   | 0.2   | 0.2   | 0.2   | 0.2   | 0.5
1.9   | 1.7   | 1.5   | 1.6   | 1.7   | 1.4
3.9   | 4.1   | 3.0   | 3.0   | 2.9   | 0.0
1.6   | 1.0   | 0.8   | 0.9   | 0.9   | 2.4
19.2  | 19.3  | 23.7  | 23.5  | 21.8  | 20.6
16.8  | 17.1  | 21.1  | 21.1  | 20.9  | ---
88    | 89    | 89    | 90    | 96    | ---
