ap    | ac    | 2c1   | 3c2   | 4bt
0-25  | 25-48 | 48-70 | 70-90 | 90-100
0.93  | 0.78  | 0.34  | 0.10  | 0.10
0.54  | 0.45  | 0.20  | 0.06  | 0.06
0.060 | 0.041 | 0.030 | 0.024 | 0.024
9     | 11    | 7     | 3     | 3
16.7  | 13.0  | 8.6   | 9.4   | 25.1
27.8  | 22.7  | 15.9  | 22.4  | 22.0
99.9  | 100.0 | 99.0  | 100.0 | 99.9
17.2  | 10.8  | 6.4   | 9.7   | 9.2
9.8   | 10.9  | 11.1  | 12.3  | 9.7
37.0  | 43.1  | 56.4  | 46.6  | 35.9
8.5   | 10.1  | 6.9   | 9.2   | 7.2
0.1   | 0.2   | 0.1   | 0.1   | 0.1
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.00  | 0.00  | 0.00  | 0.00  | 0.00
----- | ----- | ----- | ----- | -----
17205 | 20080 | 14430 | 13875 | 4107
5.0   | 5.3   | 5.8   | 5.9   | 5.3
4.5   | 4.9   | 5.3   | 5.4   | 5.4
4.1   | 4.6   | 4.9   | 5.1   | 4.5
2.2   | 2.5   | 1.8   | 1.7   | 6.1
1.1   | 0.0   | 0.0   | 0.0   | 1.1
0.4   | 0.4   | 0.3   | 0.4   | 0.6
0.2   | 0.1   | 0.1   | 0.1   | 0.3
3.8   | 2.3   | 1.1   | 1.1   | 2.3
5.9   | 5.9   | 5.5   | 5.6   | 5.4
6.8   | 6.8   | 5.5   | 7.2   | 11.2
3.9   | 3.0   | 2.2   | 2.2   | 8.1
57    | 44    | 40    | 31    | 72
