e     | bt1   | bt2   | bc    | c
0     | 20    | 60    | 85    | 132
20    | 60    | 85    | 132   | ---
2.10  | 0.79  | 0.29  | 0.12  | 0.14
1.22  | 0.46  | 0.17  | 0.07  | 0.08
0.141 | 0.066 | 0.037 | ---   | ---
9     | 7     | 5     | ---   | ---
19.5  | 55.6  | 42.3  | 20.8  | 19.1
76.2  | 42.4  | 54.6  | 73.8  | 73.8
100.0 | 100.0 | 100.0 | 100.0 | 100.0
---   | ---   | ---   | ---   | ---
3.3   | 1.8   | 2.9   | 4.2   | 5.6
1.0   | 0.2   | 0.2   | 1.2   | 1.5
---   | ---   | ---   | ---   | ---
---   | ---   | ---   | ---   | ---
---   | ---   | ---   | ---   | ---
0.0   | 0.7   | 0.9   | 0.0   | 2.3
26.0  | 51.1  | 40.1  | 31.7  | 29.6
---   | ---   | ---   | ---   | ---
6.5   | 7.6   | 7.5   | 7.2   | 7.6
6.7   | 8.1   | 8.1   | 7.8   | 8.4
---   | ---   | ---   | ---   | ---
7.8   | ---   | ---   | 9.2   | ---
4.2   | ---   | ---   | 9.2   | ---
1.6   | 7.8   | 6.1   | 4.6   | 3.7
1.6   | 4.2   | 4.2   | 3.0   | 2.9
---   | ---   | ---   | ---   | ---
9.1   | 20.9  | 18.7  | 17.4  | 14.9
17.5  | 37.4  | 32.7  | 26.4  | 24.9
15.2  | ---   | ---   | 26.0  | ---
87    | ---   | ---   | 98    | ---
