a     | e     | bt    | bc    | ck
0     | 19    | 38    | 61    | 87
19    | 38    | 61    | 87    | ---
1.97  | 0.53  | 0.53  | 0.24  | 0.21
1.14  | 0.31  | 0.31  | 0.14  | 0.12
0.111 | 0.038 | 0.038 | 0.024 | 0.019
10    | 8     | 8     | 6     | 6
7.2   | 3.4   | 14.6  | 7.4   | 6.6
37.6  | 33.3  | 32.8  | 31.5  | 30.9
98.6  | 98.2  | 98.4  | 98.7  | 99.4
---   | ---   | ---   | ---   | ---
52.6  | 60.5  | 47.0  | 54.2  | 54.0
1.2   | 1.0   | 4.0   | 5.6   | 7.9
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.3   | 3.1
14.6  | 9.8   | 20.2  | 14.3  | 12.5
---   | ---   | ---   | ---   | ---
5.1   | 6.5   | 7.6   | 8.2   | 8.9
5.6   | 6.7   | 8.4   | 8.7   | 9.2
---   | ---   | ---   | ---   | ---
7.1   | 5.3   | 9.5   | ---   | ---
1.9   | 2.4   | 2.5   | ---   | ---
0.3   | 0.7   | 6.4   | 9.0   | 9.0
1.5   | 1.0   | 2.3   | 2.2   | 1.9
3.2   | 1.3   | ---   | ---   | ---
2.1   | 6.7   | 31.7  | 48.9  | 78.3
14.2  | 10.4  | 20.2  | 18.4  | 11.5
10.8  | 9.4   | 20.7  | ---   | ---
76    | 90    | 102   | ---   | ---
