a1    | ab    | bt1   | bt2    | bc      | c       | ck
0-25  | 25-37 | 37-71 | 71-100 | 100-122 | 122-144 | +      144
2.2   | 1.4   | 0.6   | 0.3    | 0.1     | 0.1     | 0.1
1.25  | 0.81  | 0.37  | 0.18   | 0.07    | 0.04    | 0.04
0.108 | 0.070 | 0.032 | 0.016  | 0.006   | 0.003   | 0.003
12    | 12    | 12    | 11     | 12      | 13      | 13
35.3  | 38.9  | 42.5  | 43.5   | 31.87   | 22.04   | 15.6
62.1  | 60.0  | 55.4  | 54.4   | 62.76   | 72.53   | 75.37
100.0 | 100.0 | 100.0 | 100.0  | 100     | 100     | 100
---   | ---   | ---   | ---    | ---     | ---     | ---
---   | ---   | ---   | ---    | ---     | ---     | ---
---   | ---   | ---   | ---    | ---     | ---     | ---
---   | ---   | ---   | ---    | ---     | ---     | ---
---   | ---   | ---   | ---    | ---     | ---     | ---
---   | ---   | ---   | ---    | ---     | ---     | ---
0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 4.7
---   | ---   | ---   | ---    | ---     | ---     | ---
---   | ---   | ---   | ---    | ---     | ---     | ---
---   | ---   | ---   | ---    | ---     | ---     | ---
6.7   | 6.9   | 7.2   | 7.5    | 7.6     | 8.4     | 8.8
---   | ---   | ---   | ---    | ---     | ---     | ---
10.80 | 13.04 | 16.08 | 16.48  | 15.60   | 23.68   | 56.00
6.08  | 4.08  | 5.36  | 4.88   | 5.20    | 6.40    | 4.80
0.1   | 0.2   | 0.3   | 0.5    | 0.6     | 0.9     | 1.7
2.1   | 2.0   | 2.0   | 2.2    | 2.5     | 2.6     | 3.0
---   | ---   | ---   | ---    | ---     | ---     | ---
0.6   | 1.1   | 1.1   | 2.1    | 2.1     | 3.5     | 4.9
17.70 | 18.10 | 27.65 | 24.35  | 28.0    | 25.4    | 35.0
19.1  | 19.3  | 23.7  | 24.1   | 23.9    | 33.6    | 65.5
108   | 107   | 86    | 99     | 85.4    | 132.3   | 187.4
