a     | e     | bt1   | bt2   | bc     | c
0-17  | 17-26 | 26-53 | 53-97 | 97-154 | 154-200
3.97  | 1.86  | 1.07  | 0.55  | 0.36   | 0.16
2.30  | 1.08  | 0.62  | 0.32  | 0.21   | 0.09
0.157 | 0.075 | 0.062 | 0.048 | 0.03   | 0.03
15    | 14    | 10    | 7     | 6      | 4
28.3  | 26.5  | 39.3  | 47.0  | 30.4   | 25.5
68.7  | 70.7  | 59.0  | 51.6  | 68.1   | 71.4
100.0 | 100.0 | 100.0 | 100.0 | 100.0  | 100.0
44.7  | 44.6  | 40.1  | 32.8  | 47.1   | 48.1
2.3   | 2.2   | 1.3   | 1.2   | 1.1    | 2.9
0.5   | 0.5   | 0.2   | 0.2   | 0.2    | 0.2
0.2   | 0.1   | 0.2   | 0.0   | 0.2    | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0
---   | ---   | ---   | ---   | ---    | ---
---   | ---   | ---   | ---   | ---    | ---
226   | 453   | 310   | 477   | 740    | 776
6.0   | 7.5   | 7.8   | 8.0   | 8.1    | 8.3
6.2   | 7.7   | 8.2   | 8.4   | 8.5    | 8.6
5.6   | 6.6   | 6.6   | 6.6   | 6.3    | 6.3
12.1  | 11.2  | 12.8  | 12.4  | 14.5   | 13.6
3.7   | 2.6   | 3.6   | 3.2   | 2.9    | 4.6
2.6   | 3.2   | 5.9   | 5.9   | 6.2    | 6.0
1.3   | 1.3   | 2.4   | 2.2   | 2.3    | 2.5
3.4   | 0.8   | 0.0   | 0.0   | 0.0    | 0.0
11.6  | 17.3  | 23.4  | 24.2  | 24.2   | 23.3
22.5  | 18.5  | 25.2  | 24.4  | 25.6   | 25.8
19.7  | 18.3  | 24.7  | 23.7  | 25.9   | 26.7
88    | 99    | 98    | 97    | 101    | 103
