ap    | bt   | bc    | c
0     | 23   | 57    | 100
23    | 57   | 100   | 125
1.76  | 0.45 | 0.07  | ---
1.02  | 0.26 | 0.04  | ---
0.197 | ---  | ---   | ---
5     | ---  | ---   | ---
24.2  | 39.4 | 31.5  | 15.9
48.9  | 39.9 | 43.2  | 38.0
98.1  | 99.2 | 102.2 | 102.2
---   | ---  | ---   | ---
24.6  | 19.7 | 26.9  | 47.2
0.4   | 0.2  | 0.6   | 1.1
0.0   | 0.0  | 0.0   | 0.0
0.0   | 0.0  | 0.0   | 0.0
0.0   | 0.0  | 0.0   | 0.0
0.0   | 0.0  | 0.0   | 0.0
25.0  | 37.9 | 24.4  | 15.1
---   | ---  | ---   | ---
6.4   | 6.3  | 6.5   | 8.2
7.4   | 7.6  | 8.0   | 9.1
---   | ---  | ---   | ---
12.1  | 14.2 | 12.8  | ---
2.6   | 5.8  | 4.1   | ---
0.7   | 0.9  | 1.0   | 2.4
1.6   | 1.6  | 1.4   | 1.4
5.3   | 4.9  | 2.9   | .
3.2   | 3.6  | 4.4   | 24.5
21.7  | 24.7 | 22.6  | 9.8
17.0  | 22.5 | 19.3  | ---
78    | 91   | 85    | ---
