horizonte||a|e|bt1|bt2|bc|c
Profundidad|cm|5|27|40|55|85|125
muestra|cm|15|34|50|65|95|135
Mat. orgánica|%|2.83|1.03|1.34|0.59|0.41|---
C orgánico|%|1.64|0.60|0.78|0.34|0.24|---
N total|%|0.151|0.057|0.068|0.048|---|---
Relación C/N|---|11|11|11|7|---|---
Arcilla < 2µ|%|17.0|15.0|28.5|32.5|21.9|17.7
Limo 2-50µ|%|50.2|48.9|46.6|40.1|38.4|42.6
Arena >50µ|%|32.8|36.1|24.9|27.4|39.7|39.7
TOTAL|%|100.0|100.0|100.0|100.0|100.0|100.0
Limo 2-20µ|%||||||
Arena:|||||||
Muy fina 50-100µ|%|31.4|34.4|24.0|26.1|36.2|37.2
Fina 100-250µ|%|1.4|1.7|0.9|1.3|3.5|2.5
Media 250-500µ|%|0.0|0.0|0.0|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.0
Equiv.humedad|%|22.1|19.2|29.6|35.1|26.2|24.1
Resist.pasta|ohms|---|---|---|---|---|---
Conductividad|mmhos/cm|---|---|---|---|---|---
pH pasta (1:1)|---|5.9|6.3|6.2|6.2|6.6|6.2
pH agua (1:2,5)|---|6.6|7.4|7.6|7.7|7.9|7.2
pH 1N ClK (1:2,5)|---|---|---|---|---|---|---
Ca++ intercambio|me/100g|6.8|4.4|8.8|10.7|9.0|7.2
Mg++ intercambio|me/100g|4.0|4.1|5.9|8.5|5.5|5.3
Na+ intercambio|me/100g|0.2|0.3|0.9|1.5|1.3|0.7
K+ intercambio|me/100g|2.6|2.0|2.9|3.4|3.0|2.6
H+ intercambio|me/100g|5.2|2.5|3.9|4.0|2.9|3.1
(Na+/T)|%|1.4|3.1|4.3|5.7|7.5|4.2
C.I.C., (T)|me/100g|14.5|9.7|21.0|26.1|17.3|16.7
Suma bases (S)|me/100g|13.6|10.8|18.5|24.1|18.8|15.8
Sat.bases, (S/T)|%|94|111|88|92|109|95
