horizonte||e|2bt1|2bt2
Profundidad muestra|cm|0 - 22|22 - 45|45 - a +
Mat. orgánica|%|2.6|1.13|
C orgánico|%|1.51|0.66|
N total|%|0.149|0.085|
Relación C/N|---|10|8|
Arcilla < 2µ|%|9.5|28|32
Limo 2-50µ|%|66.5|49|15.9
Arena >50µ|%|23.44|16.68|51
TOTAL|%|99.44|93.68|98.9
Limo 2-20µ|%|-----|-----|-----
Arena:||||
Muy fina 50-100µ|%|-----|-----|-----
Fina 100-250µ|%|-----|-----|-----
Media 250-500µ|%|-----|-----|-----
Gruesa 500-1000µ|%|-----|-----|-----
Muy gruesa 1-2mm|%|-----|-----|-----
Calcáreo, CaCO3|%|-----|-----|-----
Equiv. humedad|%|-----|-----|-----
Resist. pasta|ohms|298|315|372
Conductividad|mmhos/cm|20.2|6.2|4.4
pH pasta (1:1)|---|||
pH agua (1:2,5)|---|7.1|7.8|7.6
pH 1N ClK (1:2,5)|---|||
Ca++ intercambio|me/100g|10.6|10.8|15.4
Mg++ intercambio|me/100g|2.2|3.0|2.0
Na+ intercambio|me/100g|5.2|8.7|7.0
K+ intercambio|me/100g|0.5|0.7|0.5
H+ intercambio|me/100g|||
(Na+/T)|%|26.8|36.7|29.1
C.I.C., (T)|me/100g|19.4|23.7|24
Suma bases (S)|me/100g|18.5|23.2|24.9
Sat.bases, (S/T)|%|95|98|100
