horizonte||a|eb|bt1|bt2|bc|c|ck
Profundidad muestra|cm|0-25|25-38|38-77|77-112|112-152|152-186|186-255
Mat. orgánica|%|3.12|1.57|0.64|0.29|0.21|0.17|0.17
C orgánico|%|1.81|0.91|0.37|0.17|0.12|0.10|0.10
N total|%|0.132|0.062|0.047|0.033|0.03|0.02|0.01
Relación C/N|---|14|15|8|5|5|4|10
Arcilla < 2µ|%|30.7|31.9|44.2|40.9|25.2|26.5|22.7
Limo 2-50µ|%|66.9|62.9|53.9|55.9|67.9|61.4|59.1
Arena >50µ|%|2.4|5.2|1.9|3.2|6.9|12.1|18.2
TOTAL|%|100.0|100.0|100.0|100.0|100.0|100.0|100.0
Limo 2-20µ|%|27.9|25.6|35.3|37.3|45.8|39.6|37.1
Arena:||||||||
Muy fina 50-100µ|%|1.9|4.6|1.4|2.2|4.1|8.0|5.4
Fina 100-250µ|%|0.5|0.6|0.5|1.0|2.4|3.6|6.3
Media 250-500µ|%|0.0|0.0|0.0|0.0|0.4|0.5|6.5
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.4|5.4
Equiv.humedad|%|---|---|---|---|---|---|---
Resist.pasta|ohms|1 420|1 512|1 490|1 210|827|785|661
Conductividad|mmhos/cm|---|---|---|---|2.1|1.6|2.6
pH pasta (1:1)|---|6.1|6.2|7.5|7.9|7.9|8.2|8.4
pH agua (1:2,5)|---|6.2|6.4|7.7|8.2|8.2|8.6|8.8
pH 1N ClK (1:2,5)|---|5.0|5.2|6.0|6.3|6.3|7.2|7.3
Ca++ intercambio|me/100g|10.8|11.0|18.2|18.0|18.1|18.5|19.8
Mg++ intercambio|me/100g|1.7|1.7|3.9|5.2|3.8|3.4|4.6
Na+ intercambio|me/100g|0.6|0.7|1.8|2.4|2.7|3.2|4.4
K+ intercambio|me/100g|1.6|1.1|2.3|2.8|2.7|2.6|2.5
H+ intercambio|me/100g|3.8|2.3|0.8|0.0|0.0|0.0|0.0
(Na+/T)|%|3.2|4.1|6.7|8.6|10.0|12.1|14.5
C.I.C., (T)|me/100g|18.5|17.0|26.7|27.8|26.9|26.5|30.3
Suma bases (S)|me/100g|14.7|14.5|26.2|28.4|27.3|27.7|31.3
Sat.bases, (S/T)|%|79|85|98|102|101|105|103
