horizonte||a|ac|c
Profundidad muestra|cm|5-15|35-50|75-90
Mat. orgánica|%|2.81|0.36|0.07
C orgánico|%|1.63|0.21|0.04
N total|%|0.187|---|---
Relación C/N|---|9|---|---
Arcilla < 2µ|%|23.9|20.2|14.3
Limo 2-50µ|%|26.0|25.1|22.0
Arena >50µ|%|50.1|54.7|63.7
TOTAL|%|100.0|100.0|100.0
Limo 2-20µ|%|---|---|---
Arena:||||
Muy fina 50-100µ|%|44.5|48.8|56.0
Fina 100-250µ|%|5.5|5.9|7.7
Media 250-500µ|%|0.1|---|---
Gruesa 500-1000µ|%|---|---|---
Muy gruesa 1-2mm|%|---|---|---
Calcáreo, CaCO3|%|0.0|0.0|0.0
Equiv.humedad|%|20.3|16.8|13.3
Resist.pasta|ohms|---|---|---
Conductividad|mmhos/cm|---|---|---
pH pasta (1:1)|---|6.2|6.4|6.9
pH agua (1:2,5)|---|6.7|7.2|7.5
pH 1N ClK (1:2,5)|---|---|---|---
Ca++ intercambio|me/100g|10.5|7.7|7.3
Mg++ intercambio|me/100g|2.3|3.4|3.5
Na+ intercambio|me/100g|0.5|0.3|0.3
K+ intercambio|me/100g|3.5|2.5|1.1
H+ intercambio|me/100g|6.9|3.9|2.4
(Na+/T)|%|2.7|2.1|2.5
C.I.C., (T)|me/100g|18.4|14.4|11.8
Suma bases (S)|me/100g|16.8|13.9|12.2
Sat.bases, (S/T)|%|91|97|103
