horizonte||a|ac|c
Profundidad muestra|cm|0|23|63
Mat. orgánica|%|2.38|0.86|0.28
C orgánico|%|1.38|0.50|0.16
N total|%|0.137|0.067|0.036
Relación C/N|---|10|7|4
Arcilla < 2µ|%|15.7|11.5|7.2
Limo 2-50µ|%|35.4|34.0|30.9
Arena >50µ|%|48.3|53.0|61.5
TOTAL|%|99.4|98.5|99.6
Arena:||||
Muy fina 50-100µ|%|46.0|49.9|53.7
Fina 100-250µ|%|2.3|3.1|7.8
Media 250-500µ|%|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0
Equiv.humedad|%|18.1|15.7|11.7
Resist.pasta|ohms|---|---|---
Conductividad|mmhos/cm|---|---|---
pH pasta (1:1)|---|5.6|6.4|6.7
pH agua (1:2,5)|---|5.9|6.6|7.0
pH 1N ClK (1:2,5)|---|---|---|---
Ca++ intercambio|me/100g|7.6|8.6|7.1
Mg++ intercambio|me/100g|1.2|1.7|1.7
Na+ intercambio|me/100g|0.3|0.3|0.3
K+ intercambio|me/100g|1.5|1.0|1.0
H+ intercambio|me/100g|2.9|1.1|0.6
(Na+/T)|%|2.2|2.3|2.9
C.I.C., (T)|me/100g|13.7|12.9|10.5
Suma bases (S)|me/100g|10.6|11.6|10.1
Sat.bases, (S/T)|%|77|90|96
