horizonte||e1|e2|bt1|bt2|bc
Profundidad muestra|cm|0-15|15-28|28-76|76-122|122-135
Mat. orgánica|%|4.09|1.43|1.00|0.40|0.22
C orgánico|%|2.37|0.83|0.58|0.23|0.13
N total|%|0.187|0.065|0.068|0.041|0.033
Relación C/N|---|13|13|9|6|4
Arcilla < 2µ|%|37.1|35.0|68.8|51.5|48.9
Limo 2-50µ|%|61.1|61.8|30.4|47.0|48.7
Arena >50µ|%|1.8|3.2|0.8|1.5|2.4
TOTAL|%|100.0|100.0|100.0|100.0|100.0
Limo 2-20µ|%|44.1|46.1|24.3|39.2|39.7
Arena:||||||
Muy fina 50-100µ|%|1.4|1.4|0.4|0.7|1.0
Fina 100-250µ|%|0.4|1.8|0.4|0.8|1.4
Media 250-500µ|%|0.0|0.0|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.00|0.00|0.00|0.00|0.00
Equiv.humedad|%|---|---|---|---|---
Resist.pasta|ohms|4 743|5 807|1 256|1 355|1 306
Conductividad|mmhos/cm|---|---|---|---|---
pH pasta (1:1)|---|5.9|6.5|6.7|7.5|7.7
pH agua (1:2,5)|---|5.9|6.5|7.3|7.8|7.9
pH 1N ClK (1:2,5)|---|4.7|5.0|5.5|5.8|5.8
Ca++ intercambio|me/100g|10.8|9.6|21.1|20.1|17.1
Mg++ intercambio|me/100g|0.6|0.2|5.7|5.8|5.8
Na+ intercambio|me/100g|0.7|0.8|1.3|1.7|1.8
K+ intercambio|me/100g|1.1|0.8|1.7|1.9|1.9
H+ intercambio|me/100g|5.3|3.5|1.8|0.9|0.9
(Na+/T)|%|3.7|5.3|4.1|5.7|6.6
C.I.C., (T)|me/100g|18.8|15.0|31.6|30.0|27.4
Suma bases (S)|me/100g|13.2|11.4|29.8|29.5|26.6
Sat.bases, (S/T)|%|70|76|94|98|97
