horizonte||ap|ac|c1|c2|2bt1|2bt2
Profundidad muestra|cm|0 - 17|17 - 38|38 - 52|52 - 68|68 - 95|95 - 115
Mat. orgánica|%|-----|-----|-----|-----|-----|-----
C orgánico|%|-----|-----|-----|-----|-----|-----
N total|%|-----|-----|-----|-----|-----|-----
Relación C/N|---|-----|-----|-----|-----|-----|-----
Arcilla < 2µ|%|12.6|17.9|17.3|16.0|33.1|33.0
Limo 2-50µ|%|33.5|34.7|35.1|35.7|32.2|31.2
Arena >50µ|%|53.9|47.4|48.7|47.0|34.7|35.8
TOTAL|%|100.0|99.9|101.0|98.7|100.0|100.0
Limo 2-20µ|%|13.8|15.9|16.0|15.9|15.2|14.6
Arena:|||||||
Muy fina 50-100µ|%|14.8|12.3|12.8|12.7|11.1|10.2
Fina 100-250µ|%|37.0|32.7|33.0|32.7|22.2|24.3
Media 250-500µ|%|2.0|2.3|2.8|1.6|1.3|1.3
Gruesa 500-1000µ|%|0.1|0.1|0.1|0.1|0.1|0.1
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|-----|-----|-----|-----|-----|-----
Equiv.humedad|%|-----|-----|-----|-----|-----|-----
Resist.pasta|ohms|5 120|-----|-----|-----|2 119|-----
Conductividad|mmhos/cm|-----|-----|-----|-----|-----|-----
pH pasta (1:1)|---|6.6|-----|-----|-----|6.0|-----
pH agua (1:2,5)|---|6.3|-----|-----|-----|6.4|-----
pH 1N ClK (1:2,5)|---|5.9|-----|-----|-----|5.2|-----
Ca++ intercambio|me/100g|3.4|-----|-----|-----|9.1|-----
Mg++ intercambio|me/100g|0.8|-----|-----|-----|2.0|-----
Na+ intercambio|me/100g|0.3|-----|-----|-----|0.3|-----
K+ intercambio|me/100g|0.7|-----|-----|-----|0.7|-----
H+ intercambio|me/100g|-----|-----|-----|-----|-----|-----
(Na+/T)|%|2.3|-----|-----|-----|1.4|-----
C.I.C., (T)|me/100g|12.8|----|----|----|21.6|----
Suma bases (S)|me/100g|5.2|----|----|----|12.1|----
Sat.bases, (S/T)|%|41|-----|-----|-----|56|-----
