horizonte||a|be|bt1|bt2|bc|c|ck
Profundidad muestra|cm|0 - 14|14 - 24|24 - 65|65 - 90|90 - 120|120 - 175|175 - 200
Mat. orgánica|%|3.24|2.53|0.91|0.43|0.29|0.17|0.14
C orgánico|%|1.88|1.47|0.53|0.25|0.17|0.10|0.08
N total|%|0.163|0.132|0.070|0.060|---|---|---
Relación C/N|---|12|11|8|4|---|---|---
Arcilla < 2µ|%|24.2|25.6|34.7|31.4|24.4|19.7|18.1
Limo 2-50µ|%|64.9|64.2|59.2|59.4|62.5|68.0|67.5
Arena >50µ|%|10.9|10.2|6.1|9.2|13.1|12.3|13.1
TOTAL|%|100.0|100.0|100.0|100.0|100.0|100.0|98.7
Limo 2-20µ|%|||||||
Arena:||||||||
Muy fina 50-100µ|%|10.1|9.4|5.5|8.8|12.3|11.0|11.8
Fina 100-250µ|%|0.8|0.8|0.6|0.4|0.8|1.3|1.3
Media 250-500µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.0|1.3
Equiv.humedad|%|29.4|30.7|32.0|30.9|28.1|25.0|25.3
Resist.pasta|ohms|---|---|---|---|---|---|---
Conductividad|mmhos/cm|---|---|---|---|---|---|---
pH pasta (1:1)|---|6.1|6.2|6.4|6.5|6.7|7.0|8.0
pH agua (1:2,5)|---|6.7|6.6|7.1|7.2|7.2|7.1|8.4
pH 1N ClK (1:2,5)|---|---|---|---|---|---|---|---
Ca++ intercambio|me/100g|9.7|10.3|12.4|13.2|13.3|12.6|---
Mg++ intercambio|me/100g|4.0|5.1|5.2|6.5|6.0|4.8|---
Na+ intercambio|me/100g|0.2|0.2|0.3|0.3|0.5|0.5|1.3
K+ intercambio|me/100g|2.5|2.4|2.7|2.7|2.8|2.8|3.0
H+ intercambio|me/100g|7.0|6.5|6.1|4.9|3.6|2.5|0.5
(Na+/T)|%|1.1|1.0|1.4|1.3|2.2|2.5|9.2
C.I.C., (T)|me/100g|18.2|19.3|22.0|23.7|22.3|19.7|14.1
Suma bases (S)|me/100g|16.4|18.0|20.6|22.7|22.6|20.7|---
Sat.bases, (S/T)|%|90|93|94|96|101|105|---
