horizonte||a|btn|bcn|c|ck
Profundidad|cm|0|20|43|69|131
muestra|cm|20|43|69|131|---
Mat. orgánica|%|1.98|0.53|0.22|0.14|0.10
C orgánico|%|1.15|0.31|0.13|0.08|0.06
N total|%|0.134|0.058|---|---|---
Relación C/N|---|9|5|---|---|---
Arcilla < 2µ|%|14.5|22.0|12.7|10.4|9.5
Limo 2-50µ|%|31.7|26.4|26.7|26.9|25.3
Arena >50µ|%|53.6|50.4|58.5|61.0|63.4
TOTAL|%|99.8|98.8|97.9|98.3|98.2
Limo 2-20µ|%|---|---|---|---|---
Arena:||||||
Muy fina 50-100µ|%|38.9|36.8|40.8|43.9|39.8
Fina 100-250µ|%|14.7|12.9|17.7|16.8|22.9
Media 250-500µ|%|0.0|0.1|0.0|0.1|0.1
Gruesa 500-1000µ|%|0.0|0.4|0.0|0.2|0.5
Muy gruesa 1-2mm|%|0.0|0.2|0.0|0.0|0.1
Calcáreo, CaCO3|%|0.00|0.37|1.67|0.29|0.49
Equiv.humedad|%|19.7|24.2|19.5|16.0|15.3
Resist.pasta|ohms|---|---|---|---|---
Conductividad|mmhos/cm|---|---|---|---|---
pH pasta (1:1)|---|6.5|8.5|9.4|9.8|10.0
pH agua (1:2,5)|---|6.7|9.1|9.8|10.0|10.2
pH 1N ClK (1:2,5)|---|---|---|---|---|---
Ca++ intercambio|me/100g|7.3|---|---|---|---
Mg++ intercambio|me/100g|2.7|---|---|---|---
Na+ intercambio|me/100g|0.4|4.8|8.7|9.5|11.0
K+ intercambio|me/100g|2.2|2.6|2.4|2.0|2.1
H+ intercambio|me/100g|0.7|---|---|---|---
(Na+/T)|%|3.0|22.4|55.1|67.4|80.9
C.I.C., (T)|me/100g|13.5|21.4|15.8|14.1|13.6
Suma bases (S)|me/100g|12.6|---|---|---|---
Sat.bases, (S/T)|%|93|---|---|---|---
