--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: A      |  Bt     |  BC     |  Ck  
HORIZONTE->PROFUNDIDADES(CM): 0-20   |  24-44  |  44-70  |  70a+
HORIZONTE->MATERIA ORGÁN.(%): 3,0    |  1,6    |  0,5    |  
HORIZONTE->CARBONO ORGÁN.(%): 1,7    |  0,9    |  0,3    |  
HORIZONTE->NITRÓGENO TOT.(%): 0,16   |  0,09   |         | 
HORIZONTE->RELACIÓN C/N.....: 11,2   |  10,0   |         |
HORIZONTE->ARCILLA 2 (%)....: 26,7   |  34,2   |  31,5   |
HORIZONTE->LIMO 2-50 (%)....: 65,8   |  61,8   |  64,8   |
HORIZONTE->AMF 50-100 (%)...: 3,7    |  2,7    |  2,9    |
HORIZONTE->AF 100-250 (%)...: 1,7    |  1,3    |  1,3    |
HORIZONTE->AM 250-500 (%)...: 0,5    |  0,2    |  0,2    |
HORIZONTE->AG 500-1000 (%)..: 0,5    |  0,3    |  0,3    |
HORIZONTE->AMG 1-2 mm (%)...: 0,1    |  0,2    |  0,2    |
HORIZONTE->CALCAREO CaCO3(%): 0,0    |  0,0    |  0,4    |  3,9
HORIZONTE->EQUIV. HUMEDAD(%): 24,9   |  26,3   |  26,1   |  25,5
HORIZONTE->PH H2O 1:2,5.....: 6,9    |  6,4    |  7,7    |  8,2 
HORIZONTE->CI ME/100G-Ca ++.: 12,8   |  14,3   |         |      
HORIZONTE->CI ME/100G-Mg ++.: 1,5    |  1,9    |         |      
HORIZONTE->CI ME/100G-Na +..: 0,4    |  0,4    |  0,4    |  0,4 
HORIZONTE->CI ME/100G-K +...: 2,0    |  1,7    |  2,1    |  2,0 
HORIZONTE->CI ME/100G-H +...: 2,1    |  2,2    |         |      
HORIZONTE->SUM.B. ME/100G(S): 16,5   |  18,3   |         |
HORIZONTE->CIC ME/100G(T)...: 18,6   |  20,4   |  20,2   |  18,9
HORIZONTE->SAT.B % (S/T)....: 88,7   |  89,5   |  100    |  100
