--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: Ak   | Bwk  
HORIZONTE->PROFUNDIDADES(CM): 0-18 | 18-49
HORIZONTE->MATERIA ORGÁN.(%): 4,4  | 1,4  
HORIZONTE->CARBONO ORGÁN.(%): 2,6  | 0,8  
HORIZONTE->NITRÓGENO TOT.(%): 0,30 | 0,11
HORIZONTE->RELACIÓN C/N.....: 8,5  | 7,5
HORIZONTE->ARCILLA 2 (%)....: 33,0 | 29,4 
HORIZONTE->LIMO 2-50 (%)....: 60,2 | 57,2 
HORIZONTE->AMF 50-100 (%)...: 5,7  | 6,5 
HORIZONTE->AF 100-250 (%)...: 1,2  | 1,6 
HORIZONTE->AM 250-500 (%)...: 0,3  | 0,9 
HORIZONTE->AG 500-1000 (%)..: 0,5  | 1,3 
HORIZONTE->AMG 1-2 mm (%)...: 0,2  | 0,9
HORIZONTE->CALCAREO CaCO3(%): 3,4  | 8,4 
HORIZONTE->EQUIV. HUMEDAD(%): 34,4 | 32,3
HORIZONTE->PH H2O 1:2,5.....: 8,7  | 8,9
HORIZONTE->CI ME/100G-Ca ++.:      |     
HORIZONTE->CI ME/100G-Mg ++.:      |
HORIZONTE->CI ME/100G-Na +..: 6,9  | 6,9 
HORIZONTE->CI ME/100G-K +...: 2,6  | 2,6  
HORIZONTE->CI ME/100G-H +...:      |     
HORIZONTE->SUM.B. ME/100G(S):      |     
HORIZONTE->CIC ME/100G(T)...: 29,1 | 23,0
HORIZONTE->SAT.B % (S/T)....: 100  | 100 
HORIZONTE->% Na INTERC.(PSI): 18,0 | 30,0
