--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: A    | Bt    | BC    | Ck
HORIZONTE->PROFUNDIDADES(CM): 0-26 | 26-59 | 59-95 | 95a+
HORIZONTE->MATERIA ORGÁN.(%): 1,4  | 0,7   | 0,3   | 0,2
HORIZONTE->CARBONO ORGÁN.(%): 0,8  | 0,4   | 0,2   | 0,1
HORIZONTE->NITRÓGENO TOT.(%): 0,09 | 0,05  |       |
HORIZONTE->RELACIÓN C/N.....: 8,5  | 7,9   |       |
HORIZONTE->ARCILLA 2 (%)....: 11,4 | 15,0  | 10,4  | 12,2
HORIZONTE->LIMO 2-50 (%)....: 28,7 | 29,7  | 26,5  | 31,5
HORIZONTE->AMF 50-100 (%)...: 5,1  | 6,1   | 5,7   | 6,2
HORIZONTE->AF 100-250 (%)...: 21,1 | 22,7  | 24,3  | 22,3
HORIZONTE->AM 250-500 (%)...: 11,4 | 9,1   | 9,6   | 8,2
HORIZONTE->AG 500-1000 (%)..: 20,1 | 16,0  | 18,7  | 11,7
HORIZONTE->AMG 1-2 mm (%)...: 3,0  | 2,3   | 3,8   | 7,6
HORIZONTE->CALCAREO CaCO3(%): 2,6  |       |       |
HORIZONTE->EQUIV. HUMEDAD(%): 11,0 | 12,5  | 10,4  | 11,9
HORIZONTE->PH PASTA.........: 6,9  | 7,0   | 7,4   | 8,1 
HORIZONTE->PH H2O 1:2,5.....: 7,0  | 7,2   | 7,5   | 8,3
HORIZONTE->CI ME/100G-Ca ++.: 5,4  | 7,9   | 7,1   |
HORIZONTE->CI ME/100G-Mg ++.: 0,5  | 0,7   | 0,3   |
HORIZONTE->CI ME/100G-Na +..: 0,2  | 0,3   | 0,3   | 0,21
HORIZONTE->CI ME/100G-K +...: 1,2  | 0,7   | 0,4   | 0,40
HORIZONTE->CI ME/100G-H +...: 0,6  | 0,4   | 0,2   |
HORIZONTE->SUM.B. ME/100G(S): 7,3  | 9,6   | 8,1   |
HORIZONTE->CIC ME/100G(T)...: 8,0  | 10,2  | 8,3   | 6,6
HORIZONTE->SAT.B % (S/T)....: 91   | 94    | 98    | 100
