--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: E      |  Btn    |  BC
HORIZONTE->PROFUNDIDADES(CM): 0-14   |  14-50  |  50a+
HORIZONTE->MATERIA ORGÁN.(%): 2,3    |  0,6    |
HORIZONTE->CARBONO ORGÁN.(%): 1,3    |  0,4    |
HORIZONTE->NITRÓGENO TOT.(%): 0,13   |  0,06   |
HORIZONTE->RELACIÓN C/N.....: 10,1   |  6,7    |
HORIZONTE->ARCILLA 2 (%)....: 28,0   |  35,0   |  31,1
HORIZONTE->LIMO 2-50 (%)....: 58,5   |  47,6   |  46,1
HORIZONTE->AMF 50-100 (%)...: 8,5    |  10,5   |  14,9
HORIZONTE->AF 100-250 (%)...: 4,1    |  3,9    |  8,3
HORIZONTE->AM 250-500 (%)...: 0,4    |  0,1    |  0,1
HORIZONTE->AG 500-1000 (%)..: 0,2    |  0,1    |
HORIZONTE->AMG 1-2 mm (%)...:        |         |
HORIZONTE->CALCAREO CaCO3(%): 0,3    |  1,1    |  0,7
HORIZONTE->EQUIV. HUMEDAD(%): 29,3   |  33,9   |  31,4
HORIZONTE->PH H2O 1:2,5.....: 7,7    |  9,3    |  9,4
HORIZONTE->CI ME/100G-Ca ++.: 8,9    |  9,3    |  7,0
HORIZONTE->CI ME/100G-Mg ++.: 1,8    |  2,2    |  1,4
HORIZONTE->CI ME/100G-Na +..: 2,6    |  11,4   |  12,0
HORIZONTE->CI ME/100G-K +...: 2,3    |  2,3    |  2,2
HORIZONTE->CI ME/100G-H +...:        |         |
HORIZONTE->SUM.B. ME/100G(S): 15,6   |  25,2   |  22,7
HORIZONTE->CIC ME/100G(T)...: 15,6   |  25,2   |  22,7
HORIZONTE->SAT.B % (S/T)....: 100    |  100    |  100
HORIZONTE->% Na INTERC.(PSI): 16,7   |  45,2   |  52,9
