--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: Ap   | Bw    | BC    | Ck
HORIZONTE->PROFUNDIDADES(CM): 0-20 | 20-42 | 42-67 | 67a+
HORIZONTE->MATERIA ORGÁN.(%): 2,3  | 1,4   | 0,7   | 0,5
HORIZONTE->CARBONO ORGÁN.(%): 1,4  | 0,8   | 0,4   | 0,2
HORIZONTE->NITRÓGENO TOT.(%): 0,18 | 0,13  |       |
HORIZONTE->RELACIÓN C/N.....: 7,6  | 6,3   |       |
HORIZONTE->ARCILLA 2 (%)....: 23,7 | 26,3  | 21,6  | 16,6
HORIZONTE->LIMO 2-50 (%)....: 63,7 | 64,4  | 66,1  | 63,5
HORIZONTE->AMF 50-100 (%)...: 7,9  | 7,6   | 7,9   | 9,4
HORIZONTE->AF 100-250 (%)...: 2,5  | 2,7   | 2,8   | 3,6
HORIZONTE->AM 250-500 (%)...: 0,5  | 0,5   | 0,5   | 1,5
HORIZONTE->AG 500-1000 (%)..: 1,0  | 0,9   | 1,1   | 4,9
HORIZONTE->AMG 1-2 mm (%)...: 0,2  | 0,2   | 0,4   | 1,3
HORIZONTE->CALCAREO CaCO3(%): 0    | 0     | 0     | 5,3
HORIZONTE->EQUIV. HUMEDAD(%): 23,2 | 24,2  | 22,2  | 22,0
HORIZONTE->PH PASTA.........: 6,1  | 6,5   | 7,3   | 8,2 
HORIZONTE->PH H2O 1:2,5.....: 6,3  | 6,7   | 7,4   | 8,9
HORIZONTE->CI ME/100G-Ca ++.: 14,3 | 15,3  | 14,6  |
HORIZONTE->CI ME/100G-Mg ++.: 2,2  | 1,9   | 1,6   |
HORIZONTE->CI ME/100G-Na +..: 0,1  | 0,9   | 0,2   | 0,4
HORIZONTE->CI ME/100G-K +...: 1,9  | 1,1   | 1,21  | 2,0
HORIZONTE->CI ME/100G-H +...: 1,3  | 0,8   | 0,3   |
HORIZONTE->SUM.B. ME/100G(S): 18,6 | 18,4  | 17,6  |
HORIZONTE->CIC ME/100G(T)...: 19,6 | 19,3  | 17,8  | 13,7
HORIZONTE->SAT.B % (S/T)....: 95   | 95    | 99    | 100
