Serie EL RODEO
Símbolo: ERo
Argiustol típico, limosa fina, mixta, térmica
Índice de Productividad: 70
Capacidad de uso: IVc

La Serie El Rodeo es un suelo moderadamente desarrollado sobre materiales franco limosos de origen eólico con influencia fluvial. Ocupa planos bajos fluviales, derrames planos y líneas de escurrimiento. Presenta un horizonte A de 18 cm, franco limoso con estructura en bloques. Le sigue hasta 50 cm un horizonte más arcilloso (B textural), franco limoso a franco arcillo limoso y estructura en prismas irregulares medios moderados. El horizonte C es franco limoso de origen eólico con influencia fluvial y aparece a partir de 86 cm. Es un suelo bien drenado con buena capacidad de retención de humedad. Está exento de sales y álcalis en todo el perfil. Dentro de esta Serie los tenores de arcilla del horizonte C pueden tener ligeras variaciones pero siempre dentro de la misma clase textural (franco limosa). Existen ligeras variaciones en el espesor de los horizontes. Tiene buena capacidad de retención de humedad y se encuentra generalmente en sectores planos deprimidos donde recibe mayor cantidad de aportes hídricos que los normales de las lomas, por lo tanto, es en general más húmedo que las partes más altas adyacentes.

Descripción del perfil típico:

El perfil tipo que representa a los suelos de esta Serie ha sido estudiado a 5 km al NNE de la estancia Los Sauces, en el departamento Tulumba, provincia de Córdoba.

A	0-18 cm; color en húmedo pardo grisáceo muy oscuro (10YR3/2); franco limoso; estructura en bloques subangulares medios moderados; friable en húmedo; ligeramente plástico; no adhesivo; pH 6,5; raíces muy abundantes; límite inferior claro, suave.

Bt	18-50 cm; color en húmedo pardo oscuro (10YR3/3); franco limoso a franco arcillo limoso; estructura en prismas irregulares medios moderados rompe a prismas y bloques; friable en húmedo; plástico; ligeramente adhesivo; pH 6,5; barnices húmico arcillosos, abundantes, medios y finos; raíces comunes; límite gradual, suave.

BC	50-86 cm; color en húmedo pardo amarillento oscuro (10YR3/4); franco limoso a franco arcillo limoso; estructura en bloques subangulares y prismas débiles; friable en húmedo; ligeramente adhesivo; pH 7,0; barnices arcillosos escasos y finos; raíces escasas; límite inferior gradual.

C	86 cm a +; color en húmedo pardo amarillento oscuro (10YR3,5/4); franco limoso; masivo; ligeramente plástico; no adhesivo; pH 7,2; vestigios de raíces.

Datos analíticos Serie EL RODEO
Situación: Latitud: 30°13’S Longitud: 63°51’O Altitud: 400 m.s.n.m.

|Horizonte                                                             |A       |Bt      |BC      |C       |
|Profundidad de la muestra (cm)                                        |0-18    |18-50   |50-86   |86 a +  |
|Materia Orgánica (%)                                                  |3,69    |1,55    |0,68    |        |
|Carbono Orgánico (%)                                                  |2,2     |0,9     |0,4     |        |
|Nitrógeno total (%)                                                   |0,22    |0,10    |        |        |
|Relación C/N                                                          |10      |9,0     |        |        |
|Arcilla, <2 μ (%)                                                     |21,4    |27,9    |25,0    |21,0    |
|Limo, 2-50 μ (%)                                                      |71,7    |66,1    |68,2    |73,8    |
|Arena muy fina, 50-100 μ (%)                                          |4,9     |4,8     |3,9     |3,9     |
|Arena fina, 100-250 μ (%)                                             |1,8     |0,8     |2,6     |2,3     |
|Arena media, 250-500 μ (%)                                            |0,3     |0,4     |0,2     |0,2     |
|Arena gruesa, 500-1000 μ (%)                                          |0,8     |0,5     |0,4     |0,4     |
|Arena muy gruesa, 1-2 mm (%)                                          |0,1     |0,1     |        |0,1     |
|Carbonatos, CaCO3 (%)                                                 |0       |0       |0       |0       |
|Equivalente de humedad (%)                                            |27,2    |29,3    |28,6    |24,8    |
|pH en pasta                                                           |6,3     |6,5     |6,8     |7,0     |
|pH en agua (1:2,5)                                                    |6,5     |6,7     |7,0     |7,2     |
|Cationes de intercambio, meq/100 gr (Ca++)                            |15,5    |16,8    |15,3    |15,5    |
|Cationes de intercambio, meq/100 gr (Mg++)                            |1,5     |1,4     |2,2     |1,4     |
|Cationes de intercambio, meq/100 gr (Na+)                             |0,3     |0,1     |0,2     |0,1     |
|Cationes de intercambio, meq/100 gr (K+)                              |2,7     |1,6     |1,9     |1,6     |
|Cationes de intercambio, meq/100 gr (H+)                              |1,7     |1,2     |0,8     |0,5     |
|Sodio de intercambio, % (PSI)                                         |1,4     |0,5     |1,0     |0,5     |
|Suma de bases, meq/100 gr (S)                                         |20,0    |19,9    |19,6    |18,6    |
|Capacidad de intercambio catiónico, meq/100 gr (T)                    |21,7    |21,3    |20,5    |19,0    |
|Saturación con bases, % (S/T)                                         |92      |93      |96      |98      |

