--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 200
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: A1|B2t|B3|C
HORIZONTE->Profundidad de la muestra (cm): 0-26|26-60|60-85|85 a +
HORIZONTE->Materia Orgánica (%): 2,9|1,2| | 
HORIZONTE->Carbono Orgánico (%): 1,7|0,7| | 
HORIZONTE->Nitrógeno total (%): 0,17|0,08| | 
HORIZONTE->Relación C/N: 10,0|8,8| | 
HORIZONTE->Arcilla, <2 μ (%): 29,1|37,5|31,1|28,9
HORIZONTE->Limo, 2-50 μ (%): 65,0|54,1|58,5|61,0
HORIZONTE->Arena muy fina, 50-100 μ (%): 2,6|4,6|4,6|9,7
HORIZONTE->Arena fina, 100-250 μ (%): 0,8|1,1|1,2|1,1
HORIZONTE->Arena media, 250-500 μ (%): 0,6|0,9|0,7|0,7
HORIZONTE->Arena gruesa, 500-1000 μ (%): 0,7|1,3|1,0|1,1
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 1,1|0,1|0,4|0,4
HORIZONTE->Calcáreo, CaCO3 (%): 0,0|0,0|0,0|0,0
HORIZONTE->Equivalente de humedad (%): 29,1|28,5|27,6|25,9
HORIZONTE->PH en pasta:  | | | 
HORIZONTE->PH en agua 1:2,5: 6,5|6,6|6,5|6,6
HORIZONTE->Cationes de intercambio (me/100 gr)-Ca ++: 18,7|16,7|16,0|15,4
HORIZONTE->Cationes de intercambio (me/100 gr)-Mg ++: 1,0|1,3|1,2|1,4
HORIZONTE->Cationes de intercambio (me/100 gr)-Na +: 0,4|0,4|0,4|0,4
HORIZONTE->Cationes de intercambio (me/100 gr)-K +: 1,6|1,3|1,2|1,2
HORIZONTE->Cationes de intercambio (me/100 gr)-H +: 0,9|1,1|1,1|1,0
HORIZONTE->Suma de bases, me/100 gr (S): 21,7|19,7|18,8|18,4
HORIZONTE->Capacidad de intercambio cat. me/100 gr (T): 22,6|20,8|19,9|19,4
HORIZONTE->Saturación con bases,% (S/T): 96|94,7|94,5|94,8
