--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 200
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: A|B2|B3|Cca||||||||||||||||
HORIZONTE->Profundidad de la muestra (cm): 0-33|33-62|62-104|104 a +||||||||||||||||
HORIZONTE->Materia Orgánica (%): 2,9|1,3| | ||||||||||||||||
HORIZONTE->Carbono Orgánico (%):  | | | ||||||||||||||||
HORIZONTE->Nitrógeno total (%): 0,17|0,07| | ||||||||||||||||
HORIZONTE->Relación C/N:  | | | ||||||||||||||||
HORIZONTE->Arcilla, <2 μ (%): 24,0|25,8|20,8|17,6||||||||||||||||
HORIZONTE->Limo, 2-50 μ (%): 41,0|41,6|42,8|42,8||||||||||||||||
HORIZONTE->Arena (%): 34,4|30,8|34,4|38,2||||||||||||||||
HORIZONTE->Calcáreo, CaCO3 (%): 0,0|0,0|0,0|1,7||||||||||||||||
HORIZONTE->Equivalente de humedad (%):  | | | ||||||||||||||||
HORIZONTE->Ph en pasta:  | | | ||||||||||||||||
HORIZONTE->pH en agua 1:2,5: 6,5|6,8|7,2|7,9||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Ca ++: 15,2|18,1|18,3||||||||| ||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Mg ++: 2,2|1,8|1,2| ||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Na +: 0,3|0,2|0,3|0,2||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-K +: 1,3|0,7|0,6|0,5||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-H +: 1,6|1,2|0,3||||||||||||||||| 
HORIZONTE->Suma de bases, me/100 gr (S):  | | | ||||||||||||||||
HORIZONTE->Cap. de intercam. catiónico me/100 gr (T): 20,6|22,0|20,7|18,3||||||||||||||||
HORIZONTE->Saturación con bases,% (S/T): 92|94|98|100||||||||||||||||
