--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 200
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: A11ca|A12ca|IIca|||||||||||
HORIZONTE->Profundidad de la muestra (cm): 0-18|18-40|40 a +|||||||||||
HORIZONTE->Materia Orgánica (%): 4,0|2,8| |||||||||||
HORIZONTE->Carbono Orgánico (%): 2,3|1,6| |||||||||||
HORIZONTE->Nitrógeno total (%): 0,22|0,16| |||||||||||
HORIZONTE->Relación C/N: 10,5|10,0| |||||||||||
HORIZONTE->Arcilla, <2 μ (%): 21,2|24,8|30,9|||||||||||
HORIZONTE->Limo, 2-50 μ (%): 41,6|40,2|47,8|||||||||||
HORIZONTE->Arena muy fina, 50-100 μ (%): 5,9|5,0|5,0|||||||||||
HORIZONTE->Arena fina, 100-250 μ (%): 5,9|5,4|4,3|||||||||||
HORIZONTE->Arena media, 250-500 μ (%): 7,0|7,4|4,2|||||||||||
HORIZONTE->Arena gruesa, 500-1000 μ (%): 10,4|10,6|5,1|||||||||||
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 5,1|4,2|3,9|||||||||||
HORIZONTE->Calcáreo, CaCO3 (%): 0,7|0,3|13,6|||||||||||
HORIZONTE->Equivalente de humedad (%): 23,0|22,3|24,9|||||||||||
HORIZONTE->pH en pasta:  | | |||||||||||
HORIZONTE->pH en agua 1:2,5: 7,4|7,7|7,8|||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Ca ++: 18,3|20,0| |||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Mg ++: 0,5|1,3| |||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Na +: 0,3|0,3|0,2|||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-K +: 1,0|0,9|0,6|||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-H +: 0,1|0,3|||||||||||| 
HORIZONTE->Suma de bases, me/100 gr (S): 20,1|22,5| |||||||||||
HORIZONTE->Capacidad de intercambio catiónica me/100 gr (T): 20,2|22,8| |||||||||||
HORIZONTE->Saturación con bases,% (S/T): 99,5|98,7|100|||||||||||
