--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 200
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: A|B2t|B3|C|Cca|||||||||||||||||
HORIZONTE->Profundidad de la muestra (cm): 0-22|22-42|42-62|62-85|85 a +|||||||||||||||||
HORIZONTE->Materia Orgánica (%): 4,0|1,9| | | |||||||||||||||||
HORIZONTE->Carbono Orgánico (%): 2,3|1,1| | | |||||||||||||||||
HORIZONTE->Nitrógeno total (%): 0,22|0,11| | | |||||||||||||||||
HORIZONTE->Relación C/N: 10,5|10,0| | | |||||||||||||||||
HORIZONTE->Arcilla, <2 μ (%): 23,6|29,9|27,3|21,2| |||||||||||||||||
HORIZONTE->Limo, 2-50 μ (%): 65,4|58,9|63,6|67,2| |||||||||||||||||
HORIZONTE->Arena muy fina, 50-100 μ (%): 5,1|5,2|4,7|5,4| |||||||||||||||||
HORIZONTE->Arena fina, 100-250 μ (%): 1,4|1,3|1,1|1,1| |||||||||||||||||
HORIZONTE->Arena media, 250-500 μ (%): 1,1|0,9|0,8|0,7| |||||||||||||||||
HORIZONTE->Arena gruesa, 500-1000 μ (%): 1,0|1,1|0,8|0,9| |||||||||||||||||
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 0,1|0,4|0,2|0,7| |||||||||||||||||
HORIZONTE->Calcáreo, CaCO3 (%): 0,0|0,1|0,0|0,0| |||||||||||||||||
HORIZONTE->Equivalente de humedad (%): 27,5|27,4|26,9|25,8| |||||||||||||||||
HORIZONTE->pH en pasta:  | | | | |||||||||||||||||
HORIZONTE->pH en agua 1:2,5: 6,5|6,7|6,9|7,0| |||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Ca ++: 18,1|18,8|17,1|17,0|||||| ||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Mg ++: 1,5|2,1|1,5|1,6|||||| ||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Na +: 0,5|0,5|0,4|0,4|||||| ||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-K +: 2,3|1,7|1,7|1,5|||||| ||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-H +: 1,4|0,7|0,7|0,5|||||||||||||||||| 
HORIZONTE->Suma de bases, me/100 gr (S): 22,4|23,1|20,7|20,5| |||||||||||||||||
HORIZONTE->Capacidad de intercambio catiónica me/100 gr (T): 23,8|23,8|21,4|21,0| |||||||||||||||||
HORIZONTE->Saturación con bases,% (S/T): 94,1|97,1|96,7|97,6| |||||||||||||||||
