--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 200
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: Ap|B2t|B3|Cca||||||||||||||||
HORIZONTE->Profundidad de la muestra (cm): 0-23|23-55|55-94|94 a +||||||||||||||||
HORIZONTE->Materia Orgánica (%): 3,6|1,26|0,72| ||||||||||||||||
HORIZONTE->Carbono Orgánico (%): 2,0|0,7|0,4| ||||||||||||||||
HORIZONTE->Nitrógeno total (%): 0,16| | | ||||||||||||||||
HORIZONTE->Relación C/N: 12| | | ||||||||||||||||
HORIZONTE->Arcilla, <2 μ (%): 23,1|28,1|25,68|20,33||||||||||||||||
HORIZONTE->Limo, 2-50 μ (%): 71,7|69,2|69,59|75,35||||||||||||||||
HORIZONTE->Arena muy fina 50-100 μ (%): 2,85|2,95|2,70|3,70||||||||||||||||
HORIZONTE->Arena fina, 100-250 μ (%): 1,60|1,50|1,70|2,45||||||||||||||||
HORIZONTE->Arena media, 250-500 μ (%): 0,30|0,30|0,40|0,75||||||||||||||||
HORIZONTE->Arena gruesa, 500-1000 μ (%): 0,50|0,30|0,40|0,75||||||||||||||||
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 0,10|0,10|0,20|0,20||||||||||||||||
HORIZONTE->Calcáreo, CaCO3 (%): 0,0|0,0|0,0|4,4||||||||||||||||
HORIZONTE->pH en pasta:  | | | ||||||||||||||||
HORIZONTE->pH en agua 1:2,5: 6,6|6,9|7,3|8,2||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Ca ++: 14,0|17,2|15,5| ||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Mg ++: 1,1|0,9|1,1| ||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Na +: 0,4|0,3|0,3|0,3||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-K +: 1,9|1,3|0,9|1,1||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-H +: 1,0|0,9|0,3||||||||||||||||| 
HORIZONTE->Suma de bases, me/100 gr (S):  | | | ||||||||||||||||
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 18,4|20,6|18,1|18,1||||||||||||||||
HORIZONTE->Saturación con bases,% (S/T): 94|96|98|100||||||||||||||||
