--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 200
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: Ap|A12|ACca|IIca||||||||||||||||
HORIZONTE->Profundidad de la muestra (cm): 0-12|12-55|55-90|90 a +||||||||||||||||
HORIZONTE->Materia Orgánica (%): 2,9|2,9|2,1|1,2||||||||||||||||
HORIZONTE->Carbono Orgánico (%):  | | | ||||||||||||||||
HORIZONTE->Nitrógeno total (%): 0,13|0,13|0,13|0,11||||||||||||||||
HORIZONTE->Relación C/N:  | | | ||||||||||||||||
HORIZONTE->Arcilla, <2 μ (%): 28,1|28,1|22,4|12,5||||||||||||||||
HORIZONTE->Limo, 2-50 μ (%): 47,8|47,8|55,5|37,1||||||||||||||||
HORIZONTE->Arena (%): 21,9|21,9|20,1|49,6||||||||||||||||
HORIZONTE->Calcáreo, CaCO3 (%): 0,0|0,0|Vest.|2,8||||||||||||||||
HORIZONTE->Equivalente de humedad (%):  | | | ||||||||||||||||
HORIZONTE->pH en pasta:  | | | ||||||||||||||||
HORIZONTE->pH en agua 1:2,5: 6,7|6,7|6,8|8,1||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Ca ++: 16,9|16,9|15,3| ||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Mg ++: 1,3|1,3|0,9| ||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Na +: 0,4|0,4|0,2|0,2||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-K +: 1,2|1,2|1,0|0,6||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-H +: 1,2|1,2|0,4||||||||||||||||| 
HORIZONTE->Suma de bases, me/100 gr (S):  | | | ||||||||||||||||
HORIZONTE->Capacidad de intercambio catiónica me/100 gr (T): 21,0|21,0|17,8|12,6||||||||||||||||
HORIZONTE->Saturación con bases,% (S/T): 94|94|97|100||||||||||||||||
