--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 200
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: Ap|IIB21|IIB22|IIB3|III|||||||||||||||||||||
HORIZONTE->Profundidad de la muestra (cm): 0-26|26-38|38-74|74-96|96 a +|||||||||||||||||||||
HORIZONTE->Materia Orgánica (%): 3,0|0,7|1,0|0,5|0,5|||||||||||||||||||||
HORIZONTE->Carbono Orgánico (%):  | | | | |||||||||||||||||||||
HORIZONTE->Nitrógeno total (%): 0,14|0,01|0,04|0,03|0,01|||||||||||||||||||||
HORIZONTE->Relación C/N:  | | | | |||||||||||||||||||||
HORIZONTE->Arcilla, <2 μ (%): 18,4|15,1|18,4|19,6|12,3|||||||||||||||||||||
HORIZONTE->Limo, 2-50 μ (%): 31,5|20,2|20,4|21,2|12,5|||||||||||||||||||||
HORIZONTE->Arena (%): 47,4|64,3|60,5|56,6|73,7|||||||||||||||||||||
HORIZONTE->Calcáreo, CaCO3 (%): 0,0|0,0|0,0|0,0|0,0|||||||||||||||||||||
HORIZONTE->Equivalente de humedad (%):  | | | | |||||||||||||||||||||
HORIZONTE->pH en pasta:  | | | | |||||||||||||||||||||
HORIZONTE->pH en agua 1:2,5: 7,3|7,3|7,8|7,3|7,7|||||||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Ca ++: 12,7|9,1|11,0|9,1|7,3|||||||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Mg ++: 0,7|1,3|0,6|1,7|0,7|||||||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Na +: 0,2|0,1|0,2|0,2|0,1|||||||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-K +: 0,8|0,4|0,4|0,5|0,3|||||||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-H +: 1,2|0,5| |0,4|||||||||||||||||||||| 
HORIZONTE->Suma de bases, me/100 gr (S):  | | | | |||||||||||||||||||||
HORIZONTE->Cap. de intercam. Catiónico me/100 gr (T): 15,6|12,4|12,2|11,9|8,6|||||||||||||||||||||
HORIZONTE->Saturación con bases,% (S/T): 92|96|100|97|100|||||||||||||||||||||
