--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 200
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: A |B2 |B3ca |Cca ||||||
HORIZONTE->Profundidad de la muestra (cm): 0-20 |20-38 |38-65 |65 a + ||||||
HORIZONTE->Materia Orgánica (%): 3,3 |1,7 | | ||||||
HORIZONTE->Carbono Orgánico (%): 1,9 |1,0 | | ||||||
HORIZONTE->Nitrógeno total (%): 0,19 |0,10 | | ||||||
HORIZONTE->Relación C/N: 10,0 |10,0 | | ||||||
HORIZONTE->Arcilla, <2 μ (%): 19,0 |21,4 |17,0 |20,4 ||||||
HORIZONTE->Limo, 2-50 μ (%): 56,5 |58,1 |61,2 |59,1 ||||||
HORIZONTE->Arena muy fina, 50-100 μ (%): 7,3 |6,7 |6,6 |5,7 ||||||
HORIZONTE->Arena fina, 100-250 μ (%): 4,0 |3,4 |2,9 |2,7 ||||||
HORIZONTE->Arena media, 250-500 μ (%): 4,5 |2,7 |3,2 |2,9 ||||||
HORIZONTE->Arena gruesa, 500-1000 μ (%): 6,9 |5,6 |4,6 |4,5 ||||||
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 2,1 |2,6 |2,2 |2,6 ||||||
HORIZONTE->Calcáreo, CaCO3 (%): 0,0 |0,0 |3,6 |7,8 ||||||
HORIZONTE->Equivalente de humedad (%): 21,7 |22,0 |22,4 |22,4 ||||||
HORIZONTE->pH en pasta: 6,9 |7,1 |7,3 |7,3 ||||||
HORIZONTE->pH en agua 1:2,5: 7,3 |7,4 |7,6 |7,7 ||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Ca ++: 18,5 |22,7 ||||| | ||
HORIZONTE->Cationes de intercambio (me/100 gr)-Mg ++: 0,4 |0,7 | | ||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Na +: 0,4 |0,3 |0,3 |0,3 ||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-K +: 1,5 |1,1 |1,0 |1,1 ||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-H +: 0,4 |0,2 ||||||| | 
HORIZONTE->Suma de bases, me/100 gr (S): 20,8 |24,8 | | ||||||
HORIZONTE->Capacidad de intercambio catiónica me/100 gr (T): 21,2 |25,0 |24,8 |24,9 ||||||
HORIZONTE->Saturación con bases,% (S/T): 98,1 |99,2 |100|100||||||
