--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 200
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: A|ACca|Cca|||||||||||
HORIZONTE->Profundidad de la muestra (cm): 0-20|20-40|40 a +|||||||||||
HORIZONTE->Materia Orgánica (%): 2,9|1,2| |||||||||||
HORIZONTE->Carbono Orgánico (%): 1,7|0,7| |||||||||||
HORIZONTE->Nitrógeno total (%): 0,16|0,05| |||||||||||
HORIZONTE->Relación C/N: 10,6|14,0| |||||||||||
HORIZONTE->Arcilla, <2 μ (%): 17,6|24,8|19,2|||||||||||
HORIZONTE->Limo, 2-50 μ (%): 67,0|63,0|68,4|||||||||||
HORIZONTE->Arena muy fina, 50-100 μ (%): 7,7|5,6|12,4|||||||||||
HORIZONTE->Arena fina, 100-250 μ (%): 2,1|1,2|1,4|||||||||||
HORIZONTE->Arena media, 250-500 μ (%): 1,3|0,9|1,1|||||||||||
HORIZONTE->Arena gruesa, 500-1000 μ (%): 1,6|1,2|1,4|||||||||||
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 0,6|1,1|1,0|||||||||||
HORIZONTE->Calcáreo, CaCO3 (%): 0,0|0,3|5,5|||||||||||
HORIZONTE->Equivalente de humedad (%): 24,6|23,9|23,2|||||||||||
HORIZONTE->pH en pasta:  | | |||||||||||
HORIZONTE->pH en agua 1:2,5: 7,1|7,7|8,2|||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Ca ++: 18,8|||||||| | ||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Mg ++: 0,4||||||||| | |||
HORIZONTE->Cationes de intercambio (me/100 gr)-Na +: 0,5|0,4|0,4|||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-K +: 2,2|1,6|1,1|||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-H +: 1,0|||||||||||| | 
HORIZONTE->Suma de bases, me/100 gr (S): 21,9| | |||||||||||
HORIZONTE->Capacidad de intercambio catiónica me/100 gr (T): 22,9|20,8|20,1|||||||||||
HORIZONTE->Saturación con bases,% (S/T): 95,6|100|100|||||||||||
