--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 200
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: A|B2t|IIR|||||||||||
HORIZONTE->Profundidad de la muestra (cm): 0-22|22-50|50 a +|||||||||||
HORIZONTE->Materia Orgánica (%): 2,1|0,7| |||||||||||
HORIZONTE->Carbono Orgánico (%): 1,2|0,4| |||||||||||
HORIZONTE->Nitrógeno total (%): 0,12|0,04| |||||||||||
HORIZONTE->Relación C/N: 10,0|10,0| |||||||||||
HORIZONTE->Arcilla, <2 μ (%): 11,9|19,2| |||||||||||
HORIZONTE->Limo, 2-50 μ (%): 28,5|25,4| |||||||||||
HORIZONTE->Arena muy fina, 50-100 μ (%): 3,9|2,9| |||||||||||
HORIZONTE->Arena fina, 100-250 μ (%): 6,4|5,6| |||||||||||
HORIZONTE->Arena media, 250-500 μ (%): 12,5|8,8| |||||||||||
HORIZONTE->Arena gruesa, 500-1000 μ (%): 23,1|19,4| |||||||||||
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 12,8|19,4| |||||||||||
HORIZONTE->Calcáreo, CaCO3 (%): 0,0|0,0| |||||||||||
HORIZONTE->Equivalente de humedad (%): 12,2|16,3| |||||||||||
HORIZONTE->pH en pasta:  | | |||||||||||
HORIZONTE->pH en agua 1:2,5: 6,7|7,2| |||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Ca ++: 6,9|13,3|||| ||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Mg ++: 0,4|0,3|||| ||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Na +: 0,2|0,2|||| ||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-K +: 0,5|0,3|||| ||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-H +: 1,5|0,8|||||||||||| 
HORIZONTE->Suma de bases, me/100 gr (S): 8,0|14,1| |||||||||||
HORIZONTE->Cap. de intercambio catiónico me/100 gr (T): 9,5|14,9| |||||||||||
HORIZONTE->Saturación con bases,% (S/T): 84,2|94,6| |||||||||||
