--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 200
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: A1|B2t|B3|C||||||||||||||||
HORIZONTE->Profundidad de la muestra (cm): 0-38|38-90|90-120|120 a+||||||||||||||||
HORIZONTE->Materia Orgánica (%): 2,1|0,3| | ||||||||||||||||
HORIZONTE->Carbono Orgánico (%): 1,2|0,2| | ||||||||||||||||
HORIZONTE->Nitrógeno total (%): 0,11|0,03| | ||||||||||||||||
HORIZONTE->Relación C/N: 10,9|6,7| | ||||||||||||||||
HORIZONTE->Arcilla, <2 μ (%): 34|40|20,3|26,4||||||||||||||||
HORIZONTE->Limo, 2-50 μ (%): 56,7|50,1|60,8|61,2||||||||||||||||
HORIZONTE->Arena muy fina 50-100 μ (%): 2,8|3,1|4,2|5,5||||||||||||||||
HORIZONTE->Arena fina, 100-250 μ (%): 1,0|1,3|1,9|1,8||||||||||||||||
HORIZONTE->Arena media, 250-500 μ (%): 0,7|1,2|1,4|1,4||||||||||||||||
HORIZONTE->Arena gruesa, 500-1000 μ (%): 0,8|2,1|1,6|1,9||||||||||||||||
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 0,3|1,0|0,7|0,9||||||||||||||||
HORIZONTE->Calcáreo, CaCO3 (%): 0,0|0,0|0,0|0,0||||||||||||||||
HORIZONTE->pH en pasta:  | | | ||||||||||||||||
HORIZONTE->pH en agua 1:2,5: 6,5|6,6|6,7|6,6||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Ca ++: 19,9|18,6|13,6|14,1||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Mg ++: 1,0|0,9|1,1|0,8||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Na +: 0,5|0,4|0,3|0,4||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-K +: 1,9|1,4|1,2|1,3||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-H +: 1,6|1,0|0,8||||||||||||||||| 
HORIZONTE->Suma de bases, me/100 gr (S): 23,3|21,3|16,2|16,9||||||||||||||||
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 24,9|22,3|17,0|16,9||||||||||||||||
HORIZONTE->Saturación con bases,% (S/T): 93,5|95,5|95,3|100||||||||||||||||
