--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 200
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: A1|B21t|B22|B3ca|Cca|||||||||||||||||||||
HORIZONTE->Profundidad de la muestra (cm): 0-21|21-44|44-70|70-95|95 a +|||||||||||||||||||||
HORIZONTE->Materia Orgánica (%): 2,37|1,20|0,51|0,36| |||||||||||||||||||||
HORIZONTE->Carbono Orgánico (%): 1,38|0,70|0,30|0,21| |||||||||||||||||||||
HORIZONTE->Nitrógeno total (%): 140|79|51| | |||||||||||||||||||||
HORIZONTE->Relación C/N: 9,8|8,9|5,9| | |||||||||||||||||||||
HORIZONTE->Arcilla, <2 μ (%): 23,3|28,4|23,7|21,8|18,0|||||||||||||||||||||
HORIZONTE->Limo, 2-50 μ (%): 43,7|36,6|41,3|45,8|44,8|||||||||||||||||||||
HORIZONTE->Arena muy fina, 50-100 μ (%): 3,2|3,3|3,7|4,7|4,0|||||||||||||||||||||
HORIZONTE->Arena fina, 100-250 μ (%): 9,5|9,7|10,8|9,1|9,3|||||||||||||||||||||
HORIZONTE->Arena media, 250-500 μ (%): 5,0|4,8|4,5|4,2|4,0|||||||||||||||||||||
HORIZONTE->Arena gruesa, 500-1000 μ (%): 12,8|14,8|12,0|11,8|13,5|||||||||||||||||||||
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 2,7|4,0|5,0|4,1|7,2|||||||||||||||||||||
HORIZONTE->Calcáreo, CaCO3 (%): 0,0|0,0|0,0|3,40|9,98|||||||||||||||||||||
HORIZONTE->Equivalente de humedad (%): 21,3|21,6|21,9|19,3|20,8|||||||||||||||||||||
HORIZONTE->pH en pasta: 6,4|6,3|6,5|7,3|7,7|||||||||||||||||||||
HORIZONTE->pH en agua 1:2,5: 6,8|6,7|7,0|7,8|8,2|||||||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Ca ++: 12,5|13,1|13,1| | |||||||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Mg ++: 2,5|1,6|1,4| | |||||||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Na +: 0,2|0,1|0,2|0,1|0,1|||||||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-K +: 1,7|1,4|1,3|1,1|1,1|||||||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-H +: 0,9|0,9|0,6|||||||||||||||||||||| | 
HORIZONTE->Suma de bases, me/100 gr (S): 16,9|16,2|16,0| | |||||||||||||||||||||
HORIZONTE->Capacidad de intercambio catiónica me/100 gr (T): 17,8|17,2|16,6|13,7|11,3|||||||||||||||||||||
HORIZONTE->Saturación con bases,% (S/T): 95|94|96| | |||||||||||||||||||||
