--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 200
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: ACca|ACca|Cca|||||||||||
HORIZONTE->Profundidad de la muestra (cm): 0-19|19-46|46 a +|||||||||||
HORIZONTE->Materia Orgánica (%): 3,3|1,6| |||||||||||
HORIZONTE->Carbono Orgánico (%): 1,9|0,9| |||||||||||
HORIZONTE->Nitrógeno total (%): 0,19|1,08| |||||||||||
HORIZONTE->Relación C/N: 10,0|0,8| |||||||||||
HORIZONTE->Arcilla, <2 μ (%): 25,8|18,8|26,0|||||||||||
HORIZONTE->Limo, 2-50 μ (%): 42,6|38,4|47,0|||||||||||
HORIZONTE->Arena muy fina, 50-100 μ (%): 5,3|5,7|5,5|||||||||||
HORIZONTE->Arena fina, 100-250 μ (%): 5,4|6,6|5,5|||||||||||
HORIZONTE->Arena media, 250-500 μ (%): 5,2|8,0|5,2|||||||||||
HORIZONTE->Arena gruesa, 500-1000 μ (%): 6,8|11,4|6,0|||||||||||
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 6,3|9,3|4,8|||||||||||
HORIZONTE->Calcáreo, CaCO3 (%): 7,6|17,1|21,4|||||||||||
HORIZONTE->Equivalente de humedad (%): 23,3|25,2|25,6|||||||||||
HORIZONTE->pH en pasta: 7,2|7,3|7,4|||||||||||
HORIZONTE->pH en agua 1:2,5: 7,6|7,9|8,1|||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Ca ++: |||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Mg ++: |||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Na +: 0,4|0,4|0,4|||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-K +: 1,4|1,1|1,1|||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-H +: ||| ||| ||||||| 
HORIZONTE->Suma de bases, me/100 gr (S):  | | |||||||||||
HORIZONTE->Capacidad de intercambio catiónica me/100 gr (T): 25,7|21,6| |||||||||||
HORIZONTE->Saturación con bases,% (S/T): 100|100| |||||||||||
