--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 200
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: A|II
HORIZONTE->Profundidad de la muestra (cm): 0-8|8-16
HORIZONTE->Materia Orgánica (%): 5,2|4,3
HORIZONTE->Carbono Orgánico (%): 3,0|2,5
HORIZONTE->Nitrógeno total (%): 0,27|0,22
HORIZONTE->Relación C/N: 11,1|11,4
HORIZONTE->Arcilla, <2 μ (%): 3,6|5,7
HORIZONTE->Limo, 2-50 μ (%): 16,0|17,4
HORIZONTE->Arena muy fina, 50-100 μ (%): 9,1|7,7
HORIZONTE->Arena fina, 100-250 μ (%): 15,7|13,1
HORIZONTE->Arena media, 250-500 μ (%): 17,1|13,7
HORIZONTE->Arena gruesa, 500-1000 μ (%): 23,1|20,7
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 13,5|19,1
HORIZONTE->Calcáreo, CaCO3 (%): 0,0|0,0
HORIZONTE->Equivalente de humedad (%): 17,6|16,2
HORIZONTE->pH en pasta:  | 
HORIZONTE->pH en agua 1:2,5: 7,3|7,3
HORIZONTE->Cationes de intercambio (me/100 gr)-Ca ++: 13,2|14,3
HORIZONTE->Cationes de intercambio (me/100 gr)-Mg ++: 0,5|0,9
HORIZONTE->Cationes de intercambio (me/100 gr)-Na +: 0,3|0,3
HORIZONTE->Cationes de intercambio (me/100 gr)-K +: 0,8|0,7
HORIZONTE->Cationes de intercambio (me/100 gr)-H +: 1,0|0,3
HORIZONTE->Suma de bases, me/100 gr (S): 14,8|16,2
HORIZONTE->Capacidad de intercambio catiónica me/100 gr (T): 15,8|16,5
HORIZONTE->Saturación con bases,% (S/T): 93,7|98,2
