--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 200
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: A1|B2t|B3|C||||||||||||||||
HORIZONTE->Profundidad de la muestra (cm): 0-23|23-56|56-75|75 a +||||||||||||||||
HORIZONTE->Materia Orgánica (%): 2,6|1,2| | ||||||||||||||||
HORIZONTE->Carbono Orgánico (%): 1,5|0,7| | ||||||||||||||||
HORIZONTE->Nitrógeno total (%): 0,12|0,06| | ||||||||||||||||
HORIZONTE->Relación C/N: 12,5|11,7| | ||||||||||||||||
HORIZONTE->Arcilla, <2 μ (%): 24,8|33,1|30,5|28,5||||||||||||||||
HORIZONTE->Limo, 2-50 μ (%): 50,9|46,4|49,9|52,9||||||||||||||||
HORIZONTE->Arena muy fina, 50-100 μ (%): 4,9|4,7|4,5|4,6||||||||||||||||
HORIZONTE->Arena fina, 100-250 μ (%): 4,1|3,6|6,5|6,4||||||||||||||||
HORIZONTE->Arena media, 250-500 μ (%): 5,3|4,2|4,7|6,7||||||||||||||||
HORIZONTE->Arena gruesa, 500-1000 μ (%): 6,0|4,6|3,9|3,4||||||||||||||||
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 1,4|1,1|0,9|0,9||||||||||||||||
HORIZONTE->Calcáreo, CaCO3 (%): 0,0|0,0|0,0|0,0||||||||||||||||
HORIZONTE->Equivalente de humedad (%): 25,7|26,8|25,9|25,6||||||||||||||||
HORIZONTE->pH en pasta:  | | | ||||||||||||||||
HORIZONTE->pH en agua 1:2,5: 7,2|7,2|7,3|7,6||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Ca ++: 16,8|17,4|17,3|16,6||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Mg ++: 0,4|2,2|1,3|1,8||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Na +: 0,4|0,4|0,3|0,3||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-K +: 1,9|1,4|1,1|1,0||||||||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-H +: 1,3|1,1||||||||||||||||| | 
HORIZONTE->Suma de bases, me/100 gr (S): 19,5|21,4|20,0|19,7||||||||||||||||
HORIZONTE->Cap. de intercambio catiónica me/100 gr (T): 20,8|22,5|20,0|19,7||||||||||||||||
HORIZONTE->Saturación con bases,% (S/T): 93,8|95,1|100|100||||||||||||||||
HORIZONTE-> : |||||||||||||||||||
