--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 200
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: Ap|ACca|Cca|||||||||||
HORIZONTE->Profundidad de la muestra (cm): 0-22|22-46|46 a +|||||||||||
HORIZONTE->Materia Orgánica (%): 4,48| | |||||||||||
HORIZONTE->Carbono Orgánico (%):  | | |||||||||||
HORIZONTE->Nitrógeno total (%): 0,28| | |||||||||||
HORIZONTE->Relación C/N:  | | |||||||||||
HORIZONTE->Arcilla, <2 μ (%): 15,3|19,2|15,3|||||||||||
HORIZONTE->Limo, 2-50 μ (%): 54,7|56,3|55,5|||||||||||
HORIZONTE->Arena (%): 27,8|22,1|27,5|||||||||||
HORIZONTE->Calcáreo, CaCO3 (%): 0,0|9,4|9,3|||||||||||
HORIZONTE->Equivalente de humedad (%):  | | |||||||||||
HORIZONTE->pH en pasta:  | | |||||||||||
HORIZONTE->pH en agua 1:2,5: 7,5|8,0|8,1|||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Ca ++: 13,8|||||||| | ||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Mg ++: 3,9||||||||| | |||
HORIZONTE->Cationes de intercambio (me/100 gr)-Na +: 0,3|0,3|0,3|||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-K +: 0,5|0,2|0,4|||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-H +: 0,6|||||||||||| | 
HORIZONTE->Suma de bases, me/100 gr (S):  | | |||||||||||
HORIZONTE->Capacidad de intercambio catiónica me/100 gr (T): 19,1|22,0|16,1|||||||||||
HORIZONTE->Saturación con bases,% (S/T): 97| | |||||||||||
