--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 200
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: A|AC|Cca|||||||||||
HORIZONTE->Profundidad de la muestra (cm): 0-23|23-38|38 a +|||||||||||
HORIZONTE->Materia Orgánica (%): 2,8| | |||||||||||
HORIZONTE->Carbono Orgánico (%): 1,6| | |||||||||||
HORIZONTE->Nitrógeno total (%): 0,17| | |||||||||||
HORIZONTE->Relación C/N: 9,4| | |||||||||||
HORIZONTE->Arcilla, <2 μ (%): 18,2|20,4|17,4|||||||||||
HORIZONTE->Limo, 2-50 μ (%): 54,7|55,5|60,0|||||||||||
HORIZONTE->Arena muy fina, 50-100 μ (%): 5,3|5,1|5,8|||||||||||
HORIZONTE->Arena fina, 100-250 μ (%): 3,2|3,0|2,9|||||||||||
HORIZONTE->Arena media, 250-500 μ (%): 4,2|3,7|3,2|||||||||||
HORIZONTE->Arena gruesa, 500-1000 μ (%): 8,2|6,4|5,0|||||||||||
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 4,3|3,7|3,3|||||||||||
HORIZONTE->Calcáreo, CaCO3 (%): 0,0|0,0|7,4|||||||||||
HORIZONTE->Equivalente de humedad (%): 23,5|22,6|23,0|||||||||||
HORIZONTE->pH en pasta:  | | |||||||||||
HORIZONTE->pH en agua 1:2,5: 6,2|6,9|7,7|||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Ca ++: 17,4|20,0||||| |||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Mg ++: 0,9|1,0| |||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-Na +: 0,3|0,2|0,2|||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-K +: 1,5|0,7|0,4|||||||||||
HORIZONTE->Cationes de intercambio (me/100 gr)-H +: 1,7|0,2|||||||||||| 
HORIZONTE->Suma de bases, me/100 gr (S): 20,1|21,9| |||||||||||
HORIZONTE->Cap. de intercambio catiónica me/100 gr (T): 21,8|22,1|19,6|||||||||||
HORIZONTE->Saturación con bases,% (S/T): 92,2|99,1|100|||||||||||
