A     |  CCam
0-18  |  18a+
3,1   |   
1,8   |   
0,17  |   
10,6  |   
19,6  |   
54,5  |   
5,8   |   
3,7   |   
4,1   |   
6,6   |   
3,4   |   
1,0   |   
23,0  |   
7,0   |   
7,5   |   
-     |
-     |
0,4   |
1,3   |
-     |
-     |
18,6  |   
100   |   
