dss_cerro_negro.psv ->> ID..........................: 207
dss_cerro_negro.psv ->> CLASIFICACION...............: Ustorthent lítico paralítico esquelética
dss_cerro_negro.psv ->> SERIE.......................: CERRO NEGRO (CN)
dss_cerro_negro.psv ->> UBICACION...................: 8 km al Oeste del paraje Cañada de Río Pinto, departamento Ischilín
dss_cerro_negro.psv ->> PROVINCIA...................: CORDOBA
dss_cerro_negro.psv ->> LATITUD.....................: S304700
dss_cerro_negro.psv ->> LONGITUD....................: O641600
dss_cerro_negro.psv ->> ALTITUD.....................: 1000
dss_cerro_negro.psv ->> PENDIENTE...................: FALTA!
dss_cerro_negro.psv ->> DRENAJE.....................: FALTA!
dss_cerro_negro.psv ->> ESCURRIMIENTO...............: FALTA!
dss_cerro_negro.psv ->> PERMEABILIDAD...............: FALTA!
dss_cerro_negro.psv ->> TIPO DE SUELO...............: FRANCA GRUESA
dss_cerro_negro.psv ->> COLOR ......................: PARDO OSCURO
dss_cerro_negro.psv ->> HORIZONTE->NOMBRE(S)........: A | II
dss_cerro_negro.psv ->> HORIZONTE->PROFUNDIDADES(CM): 0-8 | 8-16
dss_cerro_negro.psv ->> HORIZONTE->MATERIA ORGÁN.(%): 5,2 | 4,3
dss_cerro_negro.psv ->> HORIZONTE->CARBONO ORGÁN.(%): 3,0 | 2,5
dss_cerro_negro.psv ->> HORIZONTE->NITRÓGENO TOT.(%): 0,27 | 0,22
dss_cerro_negro.psv ->> HORIZONTE->RELACIÓN C/N.....: 11,1 | 11,4
dss_cerro_negro.psv ->> HORIZONTE->ARCILLA 2 (%)....: 3,6 | 5,7
dss_cerro_negro.psv ->> HORIZONTE->LIMO 2-50 (%)....: 16,0 | 17,4
dss_cerro_negro.psv ->> HORIZONTE->AMF 50-100 (%)...: 9,1 | 7,7
dss_cerro_negro.psv ->> HORIZONTE->AF 100-250 (%)...: 15,7 | 13,1
dss_cerro_negro.psv ->> HORIZONTE->AM 250-500 (%)...: 17,1 | 13,7
dss_cerro_negro.psv ->> HORIZONTE->AG 500-1000 (%)..: 23,1 | 20,7
dss_cerro_negro.psv ->> HORIZONTE->AMG 1-2 mm (%)...: 13,5 | 19,1
dss_cerro_negro.psv ->> HORIZONTE->CALCAREO CaCO3(%): 0,0 | 0,0
dss_cerro_negro.psv ->> HORIZONTE->EQUIV. HUMEDAD(%): 17,6 | 16,2
dss_cerro_negro.psv ->> HORIZONTE->PH PASTA.........: - |  
dss_cerro_negro.psv ->> HORIZONTE->PH H2O 1:2,5.....: 7,3 | 7,3
dss_cerro_negro.psv ->> HORIZONTE->CI ME/100G-Ca ++.: 13,2 | 14,3
dss_cerro_negro.psv ->> HORIZONTE->CI ME/100G-Mg ++.: 0,5 | 0,9
dss_cerro_negro.psv ->> HORIZONTE->CI ME/100G-Na +..: 0,3 | 0,3
dss_cerro_negro.psv ->> HORIZONTE->CI ME/100G-K +...: 0,8 | 0,7
dss_cerro_negro.psv ->> HORIZONTE->CI ME/100G-H +...: 1,0 | 0,3
dss_cerro_negro.psv ->> HORIZONTE->SUM.B. ME/100G(S): 14,8 | 16,2
dss_cerro_negro.psv ->> HORIZONTE->CIC ME/100G(T)...: 15,8 | 16,5
dss_cerro_negro.psv ->> HORIZONTE->SAT.B % (S/T)....: 93,7 | 98,2
