A1    |  IIB2t
0-28  |  28-60
4,1   |  1,0
2,4   |  0,6
0,24  |  0,07
10,0  |  8,6
10,7  |  23,6
26,0  |  22,6
5,1   |  4,8
10,6  |  7,9
12,7  |  10,4
19,9  |  17,7
12,6  |  10,2
0,0   |  0,0
18,2  |  18,7
-     |   
5,5   |  6,0
9,8   |  13,8
0,5   |  0,6
0,1   |  0,2
0,2   |  0,2
1,2   |  0,4
10,6  |  14,8
11,8  |  15,2
89,8  |  97,4
