A     |  B2     |  B3      |  Cca
0-33  |  33-62  |  62-104  |  104a+
2,9   |  1,3    |  -       |
-     |  -      |  -       |
0,17  |  0,07   |  -       |
-     |  -      |  -       |
24,0  |  25,8   |  20,8    |  17,6
41,0  |  41,6   |  42,8    |  42,8
34,4  |  30,8   |  34,4    |  38,2
0,0   |  0,0    |  0,0     |  1,7
-     |  -      |  -       |
-     |  -      |  -       |
6,5   |  6,8    |  7,2     |  7,9
15,2  |  18,1   |  18,3    |
2,2   |  1,8    |  1,2     |
0,3   |  0,2    |  0,3     |  0,2
1,3   |  0,7    |  0,6     |  0,5
1,6   |  1,2    |  0,3     |
-     |  -      |  -       |
20,6  |  22,0   |  20,7    |  18,3
92    |  94     |  98      |
