Ap    |  A12    |  ACca   |  IIca
0-12  |  12-55  |  55-90  |  90a+
2,9   |  2,9    |  2,1    |  1,2
-     |  -      |  -      |   
0,13  |  0,13   |  0,13   |  0,11
-     |  -      |  -      |   
28,1  |  28,1   |  22,4   |  12,5
47,8  |  47,8   |  55,5   |  37,1
21,9  |  21,9   |  20,1   |  49,6
0,0   |  0,0    |  Vest.  |  2,8
-     |  -      |  -      |   
-     |  -      |  -      |   
6,7   |  6,7    |  6,8    |  8,1
16,9  |  16,9   |  15,3   |   
1,3   |  1,3    |  0,9    |   
0,4   |  0,4    |  0,2    |  0,2
1,2   |  1,2    |  1,0    |  0,6
1,2   |  1,2    |  0,4    |
-     |  -      |  -      |   
21,0  |  21,0   |  17,8   |  12,6
94    |  94     |  97     |  100
