A1    |  B2t    |  B3     |  C
0-26  |  26-60  |  60-85  |  85a+
2,9   |  1,2    |  -      |   
1,7   |  0,7    |  -      |   
0,17  |  0,08   |  -      |   
10,0  |  8,8    |  -      |   
29,1  |  37,5   |  31,1   |  28,9
65,0  |  54,1   |  58,5   |  61,0
2,6   |  4,6    |  4,6    |  9,7
0,8   |  1,1    |  1,2    |  1,1
0,6   |  0,9    |  0,7    |  0,7
0,7   |  1,3    |  1,0    |  1,1
1,1   |  0,1    |  0,4    |  0,4
0,0   |  0,0    |  0,0    |  0,0
29,1  |  28,5   |  27,6   |  25,9
-     |  -      |  -      |   
6,5   |  6,6    |  6,5    |  6,6
18,7  |  16,7   |  16,0   |  15,4
1,0   |  1,3    |  1,2    |  1,4
0,4   |  0,4    |  0,4    |  0,4
1,6   |  1,3    |  1,2    |  1,2
0,9   |  1,1    |  1,1    |  1,0
21,7  |  19,7   |  18,8   |  18,4
22,6  |  20,8   |  19,9   |  19,4
96    |  94,7   |  94,5   |  94,8
