dss_santa_catalina.psv ->> ID..........................: 238
dss_santa_catalina.psv ->> CLASIFICACION...............: Argiustol údico
dss_santa_catalina.psv ->> SERIE.......................: SANTA CATALINA (StaC)
dss_santa_catalina.psv ->> UBICACION...................: 2 km al Norte de la ciudad de Jesús María, departamento Colón
dss_santa_catalina.psv ->> PROVINCIA...................: CORDOBA
dss_santa_catalina.psv ->> LATITUD.....................: S305800
dss_santa_catalina.psv ->> LONGITUD....................: O640400
dss_santa_catalina.psv ->> ALTITUD.....................: 500
dss_santa_catalina.psv ->> PENDIENTE...................: FALTA!
dss_santa_catalina.psv ->> DRENAJE.....................: FALTA!
dss_santa_catalina.psv ->> ESCURRIMIENTO...............: FALTA!
dss_santa_catalina.psv ->> PERMEABILIDAD...............: FALTA!
dss_santa_catalina.psv ->> TIPO DE SUELO...............: FRANCA FINA
dss_santa_catalina.psv ->> COLOR ......................: PARDO MUY OSCURO
dss_santa_catalina.psv ->> HORIZONTE->NOMBRE(S)........: A1 | B21t | B22t | B3 | Cca
dss_santa_catalina.psv ->> HORIZONTE->PROFUNDIDADES(CM): 0-24 | 24-42 | 42-60 | 60-95 | 95a+
dss_santa_catalina.psv ->> HORIZONTE->MATERIA ORGÁN.(%): 2,1 | 0,9 | - | - |  
dss_santa_catalina.psv ->> HORIZONTE->CARBONO ORGÁN.(%): 1,2 | 0,5 | - | - |  
dss_santa_catalina.psv ->> HORIZONTE->NITRÓGENO TOT.(%): 0,11 | 0,06 | - | - |  
dss_santa_catalina.psv ->> HORIZONTE->RELACIÓN C/N.....: 10,9 | 8,3 | - | - |  
dss_santa_catalina.psv ->> HORIZONTE->ARCILLA 2 (%)....: 23,4 | 29,5 | 30,1 | 25,2 | 24,2
dss_santa_catalina.psv ->> HORIZONTE->LIMO 2-50 (%)....: 54,9 | 55,7 | 51,1 | 55,7 | 54,0
dss_santa_catalina.psv ->> HORIZONTE->AMF 50-100 (%)...: 4,6 | 4,4 | 4,2 | 5,2 | 4
dss_santa_catalina.psv ->> HORIZONTE->AF 100-250 (%)...: 3,2 | 2,1 | 2,0 | 2,1 | 2,6
dss_santa_catalina.psv ->> HORIZONTE->AM 250-500 (%)...: 3,9 | 2,6 | 2,6 | 2,5 | 2,3
dss_santa_catalina.psv ->> HORIZONTE->AG 500-1000 (%)..: 5,4 | 4,1 | 4,5 | 4,6 | 4,5
dss_santa_catalina.psv ->> HORIZONTE->AMG 1-2 mm (%)...: 2,1 | 1,4 | 2,4 | 2,3 | 2,6
dss_santa_catalina.psv ->> HORIZONTE->CALCAREO CaCO3(%): 0,0 | 0,0 | 0,0 | 0,0 | 6,8
dss_santa_catalina.psv ->> HORIZONTE->PH PASTA.........: 6,7 | 7,0 | 7,1 | 7,2 |  
dss_santa_catalina.psv ->> HORIZONTE->PH H2O 1:2,5.....: 7,0 | 7,2 | 7,3 | 7,4 | 8,1
dss_santa_catalina.psv ->> HORIZONTE->CI ME/100G-Ca ++.: 15,2 | 18,3 | 18,7 | 18,2 | 
dss_santa_catalina.psv ->> HORIZONTE->CI ME/100G-Mg ++.: 1,7 | 0,8 | 0,6 | 0,4 |  
dss_santa_catalina.psv ->> HORIZONTE->CI ME/100G-Na +..: 0,4 | 0,4 | 0,4 | 0,4 |  
dss_santa_catalina.psv ->> HORIZONTE->CI ME/100G-K +...: 1,2 | 1,0 | 0,8 | 0,7 |  
dss_santa_catalina.psv ->> HORIZONTE->CI ME/100G-H +...: 1,2 | 0,6 | 0,7 | 0,2 | 
dss_santa_catalina.psv ->> HORIZONTE->SUM.B. ME/100G(S): 18,5 | 20,5 | 20,5 | 19,7 |  
dss_santa_catalina.psv ->> HORIZONTE->CIC ME/100G(T)...: 19,7 | 21,1 | 21,2 | 19,9 |  
dss_santa_catalina.psv ->> HORIZONTE->SAT.B % (S/T)....: 93,9 | 97,1 | 96,6 | 99,0 |  
