Ap    |  A12    |  II
0-12  |  12-52  |  52a+
2,2   |  1,1    |   
1,3   |  0,6    |   
0,11  |  0,04   |   
11,8  |  12,5   |   
10,1  |  9,9    |  8,7
16,4  |  18,6   |  21,0
5,2   |  6,0    |  5,7
12,8  |  14,8   |  11,3
16,6  |  17,8   |  12,6
24,4  |  21,6   |  19,3
13,7  |  11,0   |  20,1
0,0   |  0,0    |  0,0
11,2  |  9,9    |  12,4
-     |  -      |   
6,4   |  6,3    |  6,6
6,7   |  4,4    |  7,3
1,4   |  2,7    |  0,9
0,3   |  0,3    |  0,3
0,9   |  0,7    |  0,6
1,4   |  1,4    |  1,0
9,3   |  8,1    |  9,1
10,7  |  9,5    |  10,1
86,9  |  85,3   |  90,1
