A     |  AC
0-22  |  22-47
2,6   |  1,2
-     |   
0,15  |  0,07
-     |   
11,5  |  17,2
20,8  |  18,2
68,2  |  64,5
0,0   |  0,0
-     |   
-     |   
6,7   |  7,5
12,3  |  10,8
1,1   |  1,6
0,3   |  0,3
1,6   |  1,1
0,6   |   
-     |   
15,9  |  13,8
96    |  100
