A1    |  B21t   |  B22    |  B3ca   |  Cca
0-21  |  21-44  |  44-70  |  70-95  |  95a+
2,37  |  1,20   |  0,51   |  0,36   |
1,38  |  0,70   |  0,30   |  0,21   |
140   |  79     |  51     |  -      |   
9,8   |  8,9    |  5,9    |  -      |
23,3  |  28,4   |  23,7   |  21,8   |  18,0
43,7  |  36,6   |  41,3   |  45,8   |  44,8
3,2   |  3,3    |  3,7    |  4,7    |  4,0
9,5   |  9,7    |  10,8   |  9,1    |  9,3
5,0   |  4,8    |  4,5    |  4,2    |  4,0
12,8  |  14,8   |  12,0   |  11,8   |  13,5
2,7   |  4,0    |  5,0    |  4,1    |  7,2
0,0   |  0,0    |  0,0    |  3,40   |  9,98
21,3  |  21,6   |  21,9   |  19,3   |  20,8
6,4   |  6,3    |  6,5    |  7,3    |  7,7
6,8   |  6,7    |  7,0    |  7,8    |  8,2
12,5  |  13,1   |  13,1   |  -      |
2,5   |  1,6    |  1,4    |  -      |   
0,2   |  0,1    |  0,2    |  0,1    |  0,1
1,7   |  1,4    |  1,3    |  1,1    |  1,1
0,9   |  0,9    |  0,6
16,9  |  16,2   |  16,0   |  -      |   
17,8  |  17,2   |  16,6   |  13,7   |  11,3
95    |  94     |  96     |  -      |   
