A     |  B2     |  B3ca   |  Cca
0-20  |  20-38  |  38-65  |  65a+
3,3   |  1,7    |  -      |
1,9   |  1,0    |  -      |
0,19  |  0,10   |  -      |
10,0  |  10,0   |  -      |
19,0  |  21,4   |  17,0   |  20,4
56,5  |  58,1   |  61,2   |  59,1
7,3   |  6,7    |  6,6    |  5,7
4,0   |  3,4    |  2,9    |  2,7
4,5   |  2,7    |  3,2    |  2,9
6,9   |  5,6    |  4,6    |  4,5
2,1   |  2,6    |  2,2    |  2,6
0,0   |  0,0    |  3,6    |  7,8
21,7  |  22,0   |  22,4   |  22,4
6,9   |  7,1    |  7,3    |  7,3
7,3   |  7,4    |  7,6    |  7,7
18,5  |  22,7   |  -      |
0,4   |  0,7    |  -      |
0,4   |  0,3    |  0,3    |  0,3
1,5   |  1,1    |  1,0    |  1,1
0,4   |  0,2    |  -      |
20,8  |  24,8   |  -      |
21,2  |  25,0   |  24,8   |  24,9
98,1  |  99,2   |  100    |  100
