A11ca  |  A12ca  |  IIca
0-18   |  18-40  |  40a+
4,0    |  2,8    |
2,3    |  1,6    |
0,22   |  0,16   |
10,5   |  10,0   |
21,2   |  24,8   |  30,9
41,6   |  40,2   |  47,8
5,9    |  5,0    |  5,0
5,9    |  5,4    |  4,3
7,0    |  7,4    |  4,2
10,4   |  10,6   |  5,1
5,1    |  4,2    |  3,9
0,7    |  0,3    |  13,6
23,0   |  22,3   |  24,9
-      |  -      |
7,4    |  7,7    |  7,8
18,3   |  20,0   |
0,5    |  1,3    |
0,3    |  0,3    |  0,2
1,0    |  0,9    |  0,6
0,1    |  0,3    |
20,1   |  22,5   |   
20,2   |  22,8   |   
99,5   |  98,7   |  100
