Ap    |  ACca   |  Cca
0-22  |  22-46  |  46a+
4,48  |  -      |
-     |  -      |
0,28  |  -      |
-     |  -      |
15,3  |  19,2   |  15,3
54,7  |  56,3   |  55,5
27,8  |  22,1   |  27,5
0,0   |  9,4    |  9,3
-     |  -      |
-     |  -      |
7,5   |  8,0    |  8,1
13,8  |  -      |
3,9   |  -      |
0,3   |  0,3    |  0,3
0,5   |  0,2    |  0,4
0,6   |  -      |
-     |  -      |
19,1  |  22,0   |  16,1
97    |  -      |
