dss_la_emilia.psv ->> ID..........................: 218
dss_la_emilia.psv ->> CLASIFICACION...............: Haplustol típico
dss_la_emilia.psv ->> SERIE.......................: LA EMILIA (Emi)
dss_la_emilia.psv ->> UBICACION...................: 15 km al NNE de Jesús María, departamento Totoral
dss_la_emilia.psv ->> PROVINCIA...................: CORDOBA
dss_la_emilia.psv ->> LATITUD.....................: S305000
dss_la_emilia.psv ->> LONGITUD....................: O640200
dss_la_emilia.psv ->> ALTITUD.....................: 500
dss_la_emilia.psv ->> PENDIENTE...................: FALTA!
dss_la_emilia.psv ->> DRENAJE.....................: FALTA!
dss_la_emilia.psv ->> ESCURRIMIENTO...............: FALTA!
dss_la_emilia.psv ->> PERMEABILIDAD...............: FALTA!
dss_la_emilia.psv ->> TIPO DE SUELO...............: FRANCA FINA MIXTA TÉRMICA
dss_la_emilia.psv ->> COLOR ......................: PARDO GRISÁCEO MUY OSCURO
dss_la_emilia.psv ->> HORIZONTE->NOMBRE(S)........: A | B2 | C1 | Cca
dss_la_emilia.psv ->> HORIZONTE->PROFUNDIDADES(CM): 0-19 | 19-43 | 43-60 | 60a+
dss_la_emilia.psv ->> HORIZONTE->MATERIA ORGÁN.(%): 2,2 | 0,5 | - | 
dss_la_emilia.psv ->> HORIZONTE->CARBONO ORGÁN.(%): 1,3 | 0,3 | - | 
dss_la_emilia.psv ->> HORIZONTE->NITRÓGENO TOT.(%): 0,10 | 0,02 | - | 
dss_la_emilia.psv ->> HORIZONTE->RELACIÓN C/N.....: 13,0 | 15,0 | - | 
dss_la_emilia.psv ->> HORIZONTE->ARCILLA 2 (%)....: 24,6 | 25,8 | 22,8 | 20
dss_la_emilia.psv ->> HORIZONTE->LIMO 2-50 (%)....: 54,7 | 57,5 | 61,0 | 61,2
dss_la_emilia.psv ->> HORIZONTE->AMF 50-100 (%)...: 5,5 | 5,1 | 4,7 | 4,6
dss_la_emilia.psv ->> HORIZONTE->AF 100-250 (%)...: 3,7 | 3,2 | 3,1 | 3,2
dss_la_emilia.psv ->> HORIZONTE->AM 250-500 (%)...: 4,2 | 3,2 | 2,7 | 2,8
dss_la_emilia.psv ->> HORIZONTE->AG 500-1000 (%)..: 5,2 | 3,3 | 2,7 | 2,6
dss_la_emilia.psv ->> HORIZONTE->AMG 1-2 mm (%)...: 1,3 | 1,6 | 1,4 | 0,9
dss_la_emilia.psv ->> HORIZONTE->CALCAREO CaCO3(%): 0,0 | 0,0 | 0,0 | 6,2
dss_la_emilia.psv ->> HORIZONTE->EQUIV. HUMEDAD(%): 24,2 | 23,7 | 22,3 | 22,0
dss_la_emilia.psv ->> HORIZONTE->PH PASTA.........: - | - | - | 
dss_la_emilia.psv ->> HORIZONTE->PH H2O 1:2,5.....: 7,3 | 7,5 | 7,7 | 8
dss_la_emilia.psv ->> HORIZONTE->CI ME/100G-Ca ++.: 13,7 | 14,1 | 13,0 | 13
dss_la_emilia.psv ->> HORIZONTE->CI ME/100G-Mg ++.: 0,9 | 1,5 | 1,9 | 1,8
dss_la_emilia.psv ->> HORIZONTE->CI ME/100G-Na +..: 0,3 | 0,2 | 0,4 | 0,3
dss_la_emilia.psv ->> HORIZONTE->CI ME/100G-K +...: 1,7 | 1,1 | 1,4 | 1,4
dss_la_emilia.psv ->> HORIZONTE->CI ME/100G-H +...: 1,6 | - | - | 
dss_la_emilia.psv ->> HORIZONTE->SUM.B. ME/100G(S): 16,6 | 19,6 | 16,7 | 16,5
dss_la_emilia.psv ->> HORIZONTE->CIC ME/100G(T)...: 18,2 | 16,9 | 16,7 | 16,5
dss_la_emilia.psv ->> HORIZONTE->SAT.B % (S/T)....: 91,2 | 100 | 100 | 100
