A     |  R
0-14  |  14a+
4,8   |   
2,8   |   
0,27  |   
10,4  |   
12,7  |  18,6
27,7  |  28,3
19,2  |  18,1
22,3  |  29,3
8,4   |  6,9
5,9   |  4,3
3,8   |  3,8
0,9   |  10,2
17,5  |  17,0
-     |
7,8   |  8,0
-     |
-     |
0,2   |  0,1
0,8   |  0,2
-     |
-     |
20,0  |  20,4
100   |  100
