Ap    |  A12    |  B2t    |  IIB3   |  IIC
0-21  |  21-35  |  35-64  |  64-96  |  96    a  +
2,9   |  3,1    |  -      |  -      |   
-     |  -      |  -      |  -      |   
0,14  |  0,16   |  -      |  -      |   
-     |  -      |  -      |  -      |   
21,4  |  25,6   |  32,3   |  26,9   |  16,4
50,5  |  45,4   |  43,8   |  35,7   |  30,1
26,0  |  25,7   |  21,3   |  35,6   |  50,7
0,0   |  0,0    |  0,0    |  0,0    |  0,0
-     |  -      |  -      |  -      |   
-     |  -      |  -      |  -      |   
6,6   |  6,5    |  6,8    |  7,1    |  7,2
10,9  |  13,0   |  17,1   |  13,0   |  10,7
1,7   |  1,0    |  1,0    |  2,6    |  1,3
0,3   |  0,3    |  0,3    |  0,3    |  0,2
1,3   |  1,0    |  1,0    |  0,5    |  0,4
1,0   |  1,1    |  1,1    |  0,5    |  0,4
-     |  -      |  -      |  -      |   
15,2  |  16,4   |  19,6   |  16,9   |  13,0
93    |  93     |  94     |  97     |  97
