ACca  |  ACca   |  Cca
0-19  |  19-46  |  46a+
3,3   |  1,6    |   
1,9   |  0,9    |   
0,19  |  1,08   |   
10,0  |  0,8    |   
25,8  |  18,8   |  26,0
42,6  |  38,4   |  47,0
5,3   |  5,7    |  5,5
5,4   |  6,6    |  5,5
5,2   |  8,0    |  5,2
6,8   |  11,4   |  6,0
6,3   |  9,3    |  4,8
7,6   |  17,1   |  21,4
23,3  |  25,2   |  25,6
7,2   |  7,3    |  7,4
7,6   |  7,9    |  8,1
-     |  -      |
-     |  -      |
0,4   |  0,4    |  0,4
1,4   |  1,1    |  1,1
-     |  -      |
-     |  -      |
25,7  |  21,6   |
100   |  100    |
