A     |  II
0-18  |  18-30
3,6   |  2,4
2,1   |  1,4
0,18  |  0,12
11,7  |  11,7
8,5   |  9,3
16,0  |  20,2
6,5   |  3,8
13,2  |  10,2
13,8  |  14,3
22,2  |  21,3
18,6  |  18,4
0,0   |  0,0
17,4  |  14,7
-     |   
6,7   |  6,8
10,5  |  9,9
1,4   |  1,2
0,3   |  0,2
0,7   |  0,6
1,2   |  1,8
12,9  |  11,9
14,1  |  13,
-     |   
