Ap    |  A12    |  II
0-12  |  12-49  |  49a+
1,6   |  1,6    |   
-     |  -      |   
0,9   |  0,9    |   
-     |  -      |   
6,5   |  6,5    |   
16,0  |  16,0   |   
76,5  |  76,5   |   
0,0   |  0,0    |   
-     |  -      |   
-     |  -      |   
6,2   |  6,2    |   
4,7   |  4,7    |
0,3   |  0,3    |
0,2   |  0,2    |
0,9   |  0,9    |
1,4   |  1,4    |
-     |  -      |   
-     |  -      |   
-     |  -      |   
