Aca   |  IIRca
0-20  |  20     a  +
5,9   |   
3,4   |   
0,29  |   
11,7  |   
6,5   |  4,6
10,1  |  11,1
6,3   |  4,3
20,0  |  13,0
18,0  |  16,0
24,6  |  33,1
12,7  |  18,4
2,0   |  15,1
17,9  |  11,6
-     |   
6,9   |  8,4
20,5  |
0,6   |
0,1   |
0,2   |
0,8   |
21,4  |   
22,2  |   
96,4  |   
