A     |  B2t    |  IIR
0-22  |  22-50  |  50a+
2,1   |  0,7    |   
1,2   |  0,4    |   
0,12  |  0,04   |   
10,0  |  10,0   |   
11,9  |  19,2   |   
28,5  |  25,4   |   
3,9   |  2,9    |   
6,4   |  5,6    |   
12,5  |  8,8    |   
23,1  |  19,4   |   
12,8  |  19,4   |   
0,0   |  0,0    |   
12,2  |  16,3   |   
-     |  -      |   
6,7   |  7,2    |   
6,9   |  13,3   |
0,4   |  0,3    |
0,2   |  0,2    |
0,5   |  0,3    |
1,5   |  0,8    |
8,0   |  14,1   |   
9,5   |  14,9   |   
84,2  |  94,6   |   
