dss_estancia_la_selva.psv ->> ID..........................: 215
dss_estancia_la_selva.psv ->> CLASIFICACION...............: Natrustol típico
dss_estancia_la_selva.psv ->> SERIE.......................: ESTANCIA LA SELVA
dss_estancia_la_selva.psv ->> UBICACION...................: 12 km al Norte de Jesús María, departamento Totoral
dss_estancia_la_selva.psv ->> PROVINCIA...................: CORDOBA
dss_estancia_la_selva.psv ->> LATITUD.....................: S305300
dss_estancia_la_selva.psv ->> LONGITUD....................: O640500
dss_estancia_la_selva.psv ->> ALTITUD.....................: 553
dss_estancia_la_selva.psv ->> PENDIENTE...................: FALTA!
dss_estancia_la_selva.psv ->> DRENAJE.....................: FALTA!
dss_estancia_la_selva.psv ->> ESCURRIMIENTO...............: FALTA!
dss_estancia_la_selva.psv ->> PERMEABILIDAD...............: FALTA!
dss_estancia_la_selva.psv ->> TIPO DE SUELO...............: ARCILLOSA FINA MIXTA TÉRMICA
dss_estancia_la_selva.psv ->> COLOR ......................: PARDO GRISÁCEO MUY OSCURO
dss_estancia_la_selva.psv ->> HORIZONTE->NOMBRE(S)........: A | B21t | B22t
dss_estancia_la_selva.psv ->> HORIZONTE->PROFUNDIDADES(CM): 0-18 | 18-48 | 48a+
dss_estancia_la_selva.psv ->> HORIZONTE->MATERIA ORGÁN.(%): - | - | 
dss_estancia_la_selva.psv ->> HORIZONTE->CARBONO ORGÁN.(%): 1,2 | 0,9 | 
dss_estancia_la_selva.psv ->> HORIZONTE->NITRÓGENO TOT.(%): 0,10 | 0,09 | 
dss_estancia_la_selva.psv ->> HORIZONTE->RELACIÓN C/N.....: 12,0 | 10,0 | 
dss_estancia_la_selva.psv ->> HORIZONTE->ARCILLA 2 (%)....: 22,4 | 38,1 | 38,4
dss_estancia_la_selva.psv ->> HORIZONTE->LIMO 2-50 (%)....: 54,9 | 46,6 | 46,6
dss_estancia_la_selva.psv ->> HORIZONTE->AMF 50-100 (%)...: 5,1 | 3,3 | 3,0
dss_estancia_la_selva.psv ->> HORIZONTE->AF 100-250 (%)...: 4,4 | 3,3 | 2,7
dss_estancia_la_selva.psv ->> HORIZONTE->AM 250-500 (%)...: 5,7 | 4,3 | 3,1
dss_estancia_la_selva.psv ->> HORIZONTE->AG 500-1000 (%)..: 6,3 | 5,3 | 4,3
dss_estancia_la_selva.psv ->> HORIZONTE->AMG 1-2 mm (%)...: 1,3 | 1,1 | 1,5
dss_estancia_la_selva.psv ->> HORIZONTE->CALCAREO CaCO3(%): 0,0 | 0,0 | 0,2
dss_estancia_la_selva.psv ->> HORIZONTE->EQUIV. HUMEDAD(%): 21,8 | 27,2 | 29,6
dss_estancia_la_selva.psv ->> HORIZONTE->PH PASTA.........: - | - | 
dss_estancia_la_selva.psv ->> HORIZONTE->PH H2O 1:2,5.....: 6,7 | 8,1 | 8,7
dss_estancia_la_selva.psv ->> HORIZONTE->CI ME/100G-Ca ++.: 14,6 | 18,8 | 16,4
dss_estancia_la_selva.psv ->> HORIZONTE->CI ME/100G-Mg ++.: 1,6 | 1,9 | 2,3
dss_estancia_la_selva.psv ->> HORIZONTE->CI ME/100G-Na +..: 0,7 | 2,2 | 4,0
dss_estancia_la_selva.psv ->> HORIZONTE->CI ME/100G-K +...: 1,3 | 1,4 | 1,5
dss_estancia_la_selva.psv ->> HORIZONTE->CI ME/100G-H +...: 2,0 | - | 
dss_estancia_la_selva.psv ->> HORIZONTE->SUM.B. ME/100G(S): 18,2 | 24,3 | 24,2
dss_estancia_la_selva.psv ->> HORIZONTE->CIC ME/100G(T)...: 20,2 | 24,4 | 24,2
dss_estancia_la_selva.psv ->> HORIZONTE->SAT.B % (S/T)....: 90,0 | 100 | 100
