A     |  II
0-8   |  8-16
5,2   |  4,3
3,0   |  2,5
0,27  |  0,22
11,1  |  11,4
3,6   |  5,7
16,0  |  17,4
9,1   |  7,7
15,7  |  13,1
17,1  |  13,7
23,1  |  20,7
13,5  |  19,1
0,0   |  0,0
17,6  |  16,2
-     |   
7,3   |  7,3
13,2  |  14,3
0,5   |  0,9
0,3   |  0,3
0,8   |  0,7
1,0   |  0,3
14,8  |  16,2
15,8  |  16,5
93,7  |  98,2
