Horizonte|e|e2|btn|bc|c|ck
Profundidad de la muestra (cm)|0-19|19-33|33-62|62-103|103-124|124 a +
Materia Orgánica (%)|1,70|0,49|0,46|0,24|0,21|0,21
Carbono Orgánico (%)|0,99|0,29|0,27|0,14|0,12|0,12
Nitrógeno total (%)|0,106|0,041|0,041|0,027|0,019|0,019
Relación C/N|9,3|7,1|6,5|5,2|6,3|6,3
Arcilla, <2 μ (%)|4,0|5,0|14,0|10,4|6,8|6,8
Limo, 2-50 μ (%)|46,6|45,0|43,7|42,0|43,2|44,6
Arena muy fina, 50-100 μ (%)|41,5|44,8|36,7|41,3|48,0|42,2
Arena fina, 100-250 μ (%)|5,3|1,8|3,7|3,8|0,1|4,0
Arena media, 250-500 μ (%)|0,6|0,3|0,4|0,2|0,1|0,1
Arena gruesa, 500-1000 μ (%)|0,7|0,3|0,8|0,3|0,1|0,7
Arena muy gruesa, 1-2 mm (%)|||0,2|0,1||
Calcáreo, CaCO3 (%)|0,0|0,0|1,39|1,71|0,28|2,46
Equivalente de humedad (%)|15,1|14,3|21,0|19,5|17,3|17,7
pH en pasta|6,0|7,2|8,3|9,1|9,4|9,5
pH en agua 1:2,5|5,0|5,7|6,5|6,9|7,2|7,5
Mg++|1,6|1,1||||
Na+|0,4|0,6||8,4|9,1|11,5
K+|2,8|1,6|2,7|2,2|2,1|1,9
H+|3,4|0,5||||
Na+, % del valor T||4||38|47|56
Suma de bases, me/100 gr (S)|13,1|14,2||||
Capacidad de intercambio catiónico, me/100 gr (T)|16,5|15,0|28,3|22,4|19,4|20,4
Saturación con bases, % (S/T)|79|95||||
